"pwsid","detection_share"
"NN0436006",0
"NN0436008",0
"NN0436011",0
"NN0436018",0.0294117647058824
"NN0436027",0.0882352941176471
"NN3500211",0
"NN3500237",0
"NN3500245",0.0228758169934641
"NN3500248",0.0102040816326531
"NN3500250",0
"NN3500251",0.0454545454545455
"NN3500254",0
"NN3500256",0.147058823529412
"NN3500258",0.0217391304347826
"NN3500261",0.0506329113924051
"NN3500264",0.185185185185185
"NN3500266",0.0263157894736842
"NN3500267",0
"NN3500268",0.0116279069767442
"NN3500269",0.194029850746269
"NN3500274",0.0833333333333333
"NN3500277",0.0196078431372549
"NN3500278",0
"NN3500279",0.109375
"NN3500280",0.0579710144927536
"NN3500285",0.284403669724771
"NN3500286",0.1875
"NN3500287",0.111111111111111
"NN3500292",0.0555555555555556
"NN3500295",0.032258064516129
"NN0400181",0.115384615384615
"NN0400253",0
"NN0400280",0
"NN0400282",0.14
"NN0400283",0
"NN0400286",0.125
"NN0400287",0
"NN0400289",0.0806451612903226
"NN0400290",0.142857142857143
"NN0400296",0
"NN0400299",0.0188679245283019
"NN0400319",0.0476190476190476
"NN0400320",0.04
"NN0400322",0
"NN0400326",0.10752688172043
"NN0400342",0.05078125
"010106001",0.0047293746715712
"010109005",0.00202942668696093
"010307001",0.0689655172413793
"090400001",0.0101010101010101
"090400002",0.028169014084507
"090400004",0
"090400005",0.0227272727272727
"090400006",0.0188679245283019
"090400016",0.0181818181818182
"090400018",0
"090400019",0
"090400020",0.0217391304347826
"090400023",0
"090400026",0
"090400027",0
"090400030",0
"090400034",0.0217391304347826
"090400035",0.00961538461538462
"090400036",0
"090400037",0
"090400038",0
"090400040",0.0172413793103448
"090400041",0
"090400042",0
"090400047",0.0517241379310345
"090400049",0.160714285714286
"090400051",0.0189125295508274
"090400071",0.0555555555555556
"090400073",0
"090400052",0
"090400054",0.0434782608695652
"090400076",0
"090400085",0
"090400086",0.126582278481013
"090400088",0.058641975308642
"090400106",0.0428571428571429
"090400057",0.072463768115942
"090400060",0.0657894736842105
"090400063",0.125
"090400089",0.04
"090400090",0.0171919770773639
"090400092",0.0612244897959184
"090400096",0.0427350427350427
"090400099",0
"090400100",0.0555555555555556
"090400101",0.153061224489796
"090400102",0.0576923076923077
"090400104",0.112244897959184
"090400105",0.0238095238095238
"090400107",0
"090400108",0.291925465838509
"090400109",0.0264976958525346
"090400110",0.322981366459627
"090400112",0.254901960784314
"090400113",0.0476190476190476
"090400114",0.16
"090400116",0
"090400117",0
"090400118",0
"090400206",0.00591715976331361
"090400208",0
"090400209",0
"090400226",0
"090400227",0
"090400228",0
"090400232",0
"090400236",0.240740740740741
"090400237",0.2
"090400239",0.254237288135593
"090400242",0.162790697674419
"090400243",0
"090400251",0.210526315789474
"090400259",0
"090400260",0
"090400267",0.072463768115942
"090400273",0.0666666666666667
"090400276",0.0434782608695652
"090400277",0.0178571428571429
"090400278",0
"090400300",0
"090400301",0.0588235294117647
"090400302",0.0779220779220779
"090400303",0
"090400320",0
"090400343",0
"090400345",0
"090400382",0
"090400394",0
"090400395",0.173228346456693
"090400402",0
"090400662",0
"090400673",0.0409090909090909
"090400676",0.0446428571428571
"090400677",0.130434782608696
"090400678",0
"090400679",0.028169014084507
"090400680",0.0185185185185185
"090400681",0.0384615384615385
"090400682",0.145454545454545
"090400684",0
"090400687",0
"090400688",0.153846153846154
"090400692",0.0495207667731629
"090400693",0.00121951219512195
"090400697",0.125
"090400698",0
"090400699",0.027027027027027
"090400700",0
"090400701",0.0697674418604651
"090400703",0
"090400705",0
"090400706",0
"090401323",0.0166666666666667
"090403008",0
"090403009",0
"090403010",0.0238095238095238
"090403011",0
"090403051",0
"090407149",0
"090433001",0
"090600052",0
"090600053",0
"090600054",0
"090600056",0
"090600058",0
"090600119",0.0198019801980198
"090600120",0
"090600121",0.0411764705882353
"090600122",0.015625
"090600125",0
"090600126",0.150375939849624
"090600127",0.0204081632653061
"090600130",0
"090600131",0.0238095238095238
"090600133",0.0416666666666667
"090600135",0
"090600138",0.0232558139534884
"090600139",0.0454545454545455
"090600142",0.00831600831600832
"090600144",0
"090600145",0.0638297872340425
"090600146",0.0217391304347826
"090600147",0.00506756756756757
"090600148",0.0140845070422535
"090600150",0.0909090909090909
"090600151",0.0151057401812689
"090600154",0.0162162162162162
"090600156",0.045
"090600158",0.0180995475113122
"090600183",0.0869565217391304
"090600193",0.0869565217391304
"090600194",0.027027027027027
"090600226",0
"090600227",0
"090600228",0
"090600236",0.0333333333333333
"090600237",0
"090600362",0
"090600741",0.0714285714285714
"090605006",0.0377358490566038
"090605008",0
"090605012",0.0137614678899083
"090605013",0.00151285930408472
"090605015",0.0606060606060606
"090605017",0
"090605020",0.152542372881356
"090605024",0.0305084745762712
"090605033",0.196078431372549
"090605045",0.0416666666666667
"090605046",0
"090605047",0
"090605055",0.0625
"090605057",0
"090605060",0
"090605073",0.0666666666666667
"NN0400348",0
"NN0400379",0
"NN0400380",0.0447761194029851
"NN0400396",0
"NN0400397",0
"NN0400399",0.0102040816326531
"NN0400812",0
"NN0400814",0.0204081632653061
"NN0400815",0.0116279069767442
"NN0400816",0
"NN3500296",0
"NN3500299",0
"NN3500303",0
"NN3500329",0
"NN3500335",0.0123456790123457
"NN3503012",0.0789473684210526
"NN3503016",0.025
"NN3503028",0
"NN3503029",0
"NN3503030",0
"NN3503031",0.0888888888888889
"NN3503039",0.0111731843575419
"NN3503041",0.0133333333333333
"NN3503045",0
"NN3503054",0
"NN3503057",0
"NN3503059",0.0105263157894737
"NN3503060",0
"NN3503063",0
"NN3510001",0
"NN3510002",0
"NN3532009",0
"NN3534025",0.09375
"NN3534026",0
"NN3536003",0.0222222222222222
"NN3536005",0.288888888888889
"NN3536022",0
"NN4900220",0
"NN4900222",0
"NN4900224",0
"NN4903017",0
"NN4903018",0.0196078431372549
"NN4903032",0.0277777777777778
"NN4903071",0.134615384615385
"NN4903072",0
"NN4903073",0
"NN4903074",0
"NN4932002",0
"NN4933011",0.0535714285714286
"MN5020506",NA
"PA1460812",NA
"PA1460847",NA
"PA1460866",NA
"PA1460880",NA
"PA1460893",NA
"PA1461079",NA
"PA1461100",NA
"PA1510001",NA
"PA1510009",NA
"PA2080017",NA
"PA2080029",NA
"PA2080361",NA
"PA2350493",NA
"PA2350916",NA
"PA2400053",NA
"PA2400066",NA
"PA2400083",NA
"PA2400086",NA
"PA2400091",NA
"PA2400136",NA
"PA2400358",NA
"PA2400910",NA
"PA2400979",NA
"PA2400989",NA
"PA2408001",NA
"PA2450008",NA
"PA2450022",NA
