pwsid,arsenic
093500333,0
093503042,.00059230771
093534001,0
093534005,0
093534007,0
093534011,0
093534020,.00165
093534021,.00182
093534022,.0018
093534023,0
093534024,0
100211202,0
101600001,0
101600002,0
101600003,0
101600009,.0017500001
101600010,0
101600016,0
101611104,.0054642856
101611105,0
101612108,0
101612109,.0062500001
101612110,0
104100002,0
104101100,.0027666667
104101101,0
104101102,.02495
104101132,0
104101133,0
104101247,0
104111101,0
104121115,0
104121120,0
104121127,0
105300002,.0074729999
105300006,.001465
105300007,.0092332261
105300008,.0011766667
105300009,.0020999999
105300010,0
105300011,0
105300012,.0014111111
105300013,.0027272729
105300014,.00050000002
105300015,0
105300016,0
105300017,0
105300018,0
105300019,.0020000001
105300020,0
105300021,.0027999999
105300022,.0014733333
105300024,.0047150003
105300025,.0017
105300026,.0027276666
105300027,0
105300028,0
105300031,.0031333333
105300033,.0090977773
105300042,.00076999998
105300047,.0089149997
105300048,0
105300051,.00045666666
105300058,.0026766667
105300073,.00050999998
105300081,0
105300083,0
105300084,0
105300087,0
105300088,0
105300089,0
105300090,.0042333333
105300091,.006866667
105300092,.0040333336
105300094,0
105300098,.001625
105300108,0
105300109,.0033666666
105300115,.00544
105300117,.0020000001
105300119,.0017500001
105300120,0
105300123,.0055924999
105300127,0
105300133,0
105300134,.00052666664
105300135,.0048333332
105300139,.0014428571
105300141,.0040000002
105300144,.0048666666
105300146,0
105300147,0
105300148,.00023999999
105300151,.0033324999
105300153,.001156
105300155,.0020000001
105300156,.00245
105311103,.013828919
105311105,.00178
105311106,0
105311107,0
105318112,.0068000001
105338100,.010042222
105338102,.0049333335
105338113,0
105338116,.0041485713
105338117,.0019
105388889,.0020000001
AK2110318,0
AK2110318 ,0
AK2110342,0
AK2110342 ,0
AK2110449,0
AK2110449 ,0
AK2110562 ,0
AK2110601,0
AK2110601 ,0
AK2110619 ,0
AK2110821 ,0
AK2111457 ,0
AK2111561 ,0
AK2111566,0
AK2113560 ,0
AK2119205 ,0
AK2120012 ,0
AK2120127,0
AK2120127 ,0
AK2120143 ,0
AK2120169 ,0
AK2120193,0
AK2120193 ,0
AK2120216 ,0
AK2120224,0
AK2120224 ,0
AK2120232,0
AK2120232 ,0
AK2120436,0
AK2120436 ,0
AK2120541,0
AK2120575,0
AK2120575 ,0
AK2120606 ,0
AK2121076,0
AK2121076 ,0
AK2121123,0
AK2121123 ,0
AK2121406 ,0
AK2121409 ,0
AK2121485,.000086333333
AK2121485 ,0
AK2121502,0
AK2121510,0
AK2121510 ,0
AK2130017 ,0
AK2130067 ,0
AK2130075,0
AK2130075 ,0
AK2130083,0
AK2130083 ,0
AK2130122,0
AK2130122 ,0
AK2130148,0
AK2130148 ,0
AK2130156,.00022099999
AK2130156 ,0
AK2130172,.00010566667
AK2130172 ,0
AK2130198,0
AK2130198 ,0
AK2130342,.020013334
AK2130423,.0060749999
AK2130596,.00050000002
AK2130596 ,0
AK2130659 ,0
AK2131123 ,0
AK2131148,0
AK2210312,0
AK2210312 ,0
AK2210320,.0094945449
AK2210320 ,0
AK2210338,0
AK2210338 ,0
AK2210346,0
AK2210346 ,0
AK2210354,0
AK2210354 ,0
AK2210396 ,0
AK2210419,.0094300006
AK2210419 ,0
AK2210435,.0022
AK2210435 ,0
AK2210451,.0049000001
AK2210451 ,0
AK2210485,.001502
AK2210485 ,0
AK2210540,.035999998
AK2210566,.0051000002
AK2210566 ,0
AK2210574,.0062837498
AK2210574 ,0
AK2210605,0
AK2210605 ,0
AK2210639,0
AK2210639 ,0
AK2210689,.0040799999
AK2210689 ,0
AK2210697,.00034500001
AK2210697 ,0
AK2210702,.0045699999
AK2210702 ,0
AK2210778,0
AK2210778 ,0
AK2210786 ,0
AK2210794,0
AK2210794 ,0
AK2210891,.0054166666
AK2210891 ,0
AK2210906,.00031542697
AK2210906 ,0
AK2211025,0
AK2211025 ,0
AK2211033 ,0
AK2211059 ,0
AK2211075,.0074749999
AK2211075 ,0
AK2211091 ,0
AK2211114,.010686208
AK2211114 ,0
AK2211122,.005295
AK2211122 ,0
AK2211130,.0016
AK2211130 ,0
AK2211164,0
AK2211164 ,0
AK2211198,.00508
AK2211198 ,0
AK2211229 ,0
AK2211431,.00075100001
AK2211431 ,0
AK2211473,0
AK2211473 ,0
AK2211481 ,0
AK2211562,.001015
AK2211562 ,0
AK2211619,.0090017645
AK2211619 ,0
AK2211669,0
AK2211669 ,0
AK2211677,.0069276667
AK2211677 ,0
AK2211708,0
AK2211708 ,0
AK2211724,0
AK2211724 ,0
AK2211813,0
AK2211813 ,0
AK2211821 ,0
AK2211897,.00174
AK2211897 ,0
AK2211936,0
AK2211936 ,0
AK2211952 ,0
AK2212005,.00030750001
AK2212005 ,0
AK2212021,.000081294122
AK2212021 ,0
AK2212039,0
AK2212039 ,0
AK2212128,.0047584288
AK2212128 ,0
AK2212267 ,0
AK2212461,0
AK2212461 ,0
AK2212819,.0016
AK2212819 ,0
AK2212916,0
AK2212916 ,0
AK2212924,0
AK2212924 ,0
AK2213019,0
AK2213019 ,0
AK2213239,0
AK2213239 ,0
AK2213297,0
AK2213297 ,0
AK2213336,.0019349999
AK2213336 ,0
AK2213530,.00337
AK2213530 ,0
AK2213556 ,0
AK2213564,0
AK2213564 ,0
AK2213598,.0023000001
AK2213598 ,0
AK2213603,.0034
AK2213603 ,0
AK2213768,.00091200002
AK2213768 ,0
AK2213792,0
AK2213792 ,0
AK2213904 ,0
AK2213954 ,0
AK2213962,.00031050001
AK2213962 ,0
AK2214007,.000344
AK2214007 ,0
AK2214049,.0003705
AK2214049 ,0
AK2214099,0
AK2214099 ,0
AK2214138,.0033457894
AK2214138 ,0
AK2214219,.00088599999
AK2214219 ,0
AK2214544,0
AK2214544 ,0
AK2214586,0
AK2214586 ,0
AK2214706 ,0
AK2214730,0
AK2214730 ,0
AK2215524,0
AK2215524 ,0
AK2215558,0
AK2215558 ,0
AK2215566,.0031900001
AK2215566 ,0
AK2216198,0
AK2216198 ,0
AK2216902,.015249999
AK2216902 ,0
AK2217267,.011545
AK2217576 ,0
AK2218478,0
AK2218630,.00025799999
AK2218630 ,0
AK2218642,0
AK2218642 ,0
AK2218652,0
AK2218652 ,0
AK2218653,.00019566667
AK2218653 ,0
AK2218748,.0030350001
AK2218748 ,0
AK2218757,.000115
AK2218757 ,0
AK2218791 ,0
AK2218807,0
AK2218813,0
AK2218820,0
AK2220012 ,0
AK2220025,.0051522222
AK2220025 ,0
AK2220029,.00095000002
AK2220029 ,0
AK2220037,.0078330766
AK2220037 ,0
AK2220038,0
AK2220056,.00148
AK2220056 ,0
AK2220063 ,0
AK2220070,0
AK2220070 ,0
AK2220084,.00047500001
AK2220084 ,0
AK2220085,0
AK2220085 ,0
AK2220086,.0068766666
AK2220086 ,0
AK2220094,.003039143
AK2220094 ,0
AK2220095,0
AK2220095 ,0
AK2220098,.0015533334
AK2220098 ,0
AK2220118,.0055733332
AK2220118 ,0
AK2220133 ,0
AK2220134,0
AK2220134 ,0
AK2220135,0
AK2220135 ,0
AK2220138,.000054680851
AK2220138 ,0
AK2220139,.00011299999
AK2220139 ,0
AK2220141,0
AK2220141 ,0
AK2220146,0
AK2220146 ,0
AK2220151,0
AK2220151 ,0
AK2220153,0
AK2220153 ,0
AK2220154,.0074485
AK2220154 ,0
AK2220156 ,0
AK2220159,.000074999996
AK2220159 ,0
AK2220163,.0030125
AK2220163 ,0
AK2220169,0
AK2220169 ,0
AK2220170,0
AK2220170 ,0
AK2220172 ,0
AK2220173,0
AK2220175 ,0
AK2220177,0
AK2220189 ,0
AK2220215,0
AK2220215 ,0
AK2220216,0
AK2220216 ,0
AK2220220,.0045975
AK2220220 ,0
AK2220230,0
AK2220230 ,0
AK2220246,.0017500001
AK2220246 ,0
AK2220248,.0036566665
AK2220248 ,0
AK2220253 ,0
AK2220258,.0036698333
AK2220258 ,0
AK2220270,0
AK2220308,0
AK2220308 ,0
AK2220310,0
AK2220353,.002044
AK2220353 ,0
AK2220375,0
AK2220375 ,0
AK2220408,.00027466667
AK2220408 ,0
AK2220429,.016401429
AK2220436,.00041450001
AK2220439,.0060400004
AK2220443,0
AK2220446,0
AK2220459,.00076666666
