"","PWSID","Maximum_sample_exceedence","Units","total_violations","SAMPLING_END_DATE"
"10583","MA1143000",3.12,"mg/L",7,"12/31/1994"
"10584","MA1150000",0.036,"mg/L",3,"12/31/1992"
"10585","MA3128000",0.03,"mg/L",2,"12/31/1992"
"10586","MA3144000",0.025,"mg/L",3,"12/31/1992"
"10587","MA3157000",0.04,"mg/L",1,"12/31/1992"
"10588","MA3160000",0.051,"mg/L",3,"06/30/1993"
"10589","CT0427031",6.5,"mg/L",3,"12/31/1995"
"10590","MA1204001",0.032,"mg/L",1,"12/31/1993"
"10591","MA1214000",0.05,"mg/L",2,"12/31/1992"
"10592","MA1217000",0.025,"mg/L",1,"12/31/1993"
"10593","MA1217001",0.026,"mg/L",1,"12/31/1993"
"10594","CA5601120",0.03,"mg/L",5,"12/31/1998"
"10595","CA2300634",0.03,"mg/L",3,"12/31/2003"
"10596","CA1910163",0.068,"mg/L",1,"12/31/1999"
"10597","MA3010000",0.055,"mg/L",10,"06/30/1992"
"10598","MA3014000",0.125,"mg/L",2,"06/30/1993"
"10599","CA2710702",0.036,"mg/L",12,"12/31/2004"
"10600","CA2710850",0.024,"mg/L",10,"12/31/1994"
"10601","CA1700502",0.084,"mg/L",5,"12/31/2004"
"10602","CA1700530",0.022,"mg/L",5,"12/31/1995"
"10603","CA1700536",0.32,"mg/L",9,"12/31/2001"
"10604","CT0866051",7.169,"mg/L",4,"12/31/2003"
"10605","CT0869023",2.31,"mg/L",7,"12/31/2003"
"10606","CT1130021",0.024,"mg/L",2,"12/31/2003"
"10607","CT1311011",0.033,"mg/L",2,"12/31/2003"
"10608","CT1410051",2.1,"mg/L",4,"12/31/2003"
"10609","CA1700657",0.017,"mg/L",3,"12/31/2000"
"10610","CA1910153",0.074,"mg/L",5,"12/31/1995"
"10611","063500119",1.89,"mg/L",2,"06/30/1993"
"10612","VA5111430",2.982,"mg/L",10,"06/30/2007"
"10613","LA1073055",0.046,"mg/L",6,"12/31/2004"
"10614","LA1013009",5.2,"mg/L",7,"12/31/2004"
"10615","LA2117141",7.3,"mg/L",2,"12/31/2004"
"10616","OH1630712",470,"mg/L",5,"12/31/2007"
"10617","AK2240537",6.99,"mg/L",7,"07/01/1993"
"10618","AK2240561",2.4895,"mg/L",16,"07/01/1997"
"10619","AK2240707",3.3,"mg/L",17,"01/01/1994"
"10620","AK2242929",3.2,"mg/L",2,"07/01/1997"
"10621","AK2243006",3.67,"mg/L",7,"07/01/1999"
"10622","TX2340016",1.89,"mg/L",1,"12/31/1993"
"10623","CT0055013",0.022,"mg/L",1,"12/31/1999"
"10624","CT0781243",0.024,"mg/L",1,"12/31/1999"
"10625","TX2510018",2.61,"mg/L",2,"12/31/1994"
"10626","CA5510851",0.036,"mg/L",14,"12/31/2005"
"10627","TX2270242",1.4,"mg/L",1,"12/31/1997"
"10628","TX2270309",1.94,"mg/L",5,"12/31/2000"
"10629","MA4036001",0.04,"mg/L",1,"12/31/1992"
"10630","MA4036002",0.046,"mg/L",2,"12/31/1992"
"10631","MA4036002",0.046,"mg/L",2,"06/30/1993"
"10632","MA4036003",0.041,"mg/L",1,"06/30/1993"
"10633","MA4036008",0.124,"mg/L",1,"12/31/1994"
"10634","MA4044000",0.02,"mg/L",2,"06/01/1994"
"10635","MA4052001",0.018,"mg/L",1,"06/30/1995"
"10636","MA4052025",2.56,"mg/L",1,"06/30/2003"
"10637","MA4052054",0.021,"mg/L",3,"12/31/1998"
"10638","OH7937912",173,"mg/L",5,"12/31/2007"
"10639","OR4105182",0.029,"mg/L",1,"12/31/1994"
"10640","CT0670352",0.0235,"mg/L",1,"12/31/1999"
"10641","CT0970462",0.227,"mg/L",6,"06/30/1994"
"10642","CT1610263",0.078,"mg/L",2,"06/30/1994"
"10643","CT0180111",0.016,"mg/L",1,"12/31/1999"
"10644","CT0180141",0.017,"mg/L",2,"06/30/1994"
"10645","CT0570212",1.6,"mg/L",4,"12/31/1999"
"10646","CT0970442",7.71,"mg/L",10,"12/31/1998"
"10647","IL3064451",0.1,"mg/L",3,"06/30/2018"
"10648","CT0860642",0.0369,"mg/L",4,"12/31/2017"
"10649","IL3155952",2.3,"mg/L",10,"06/30/2018"
"10650","CT0050022",0.052,"mg/L",2,"12/31/2000"
"10651","MA3330000",1.8,"mg/L",1,"06/30/2002"
"10652","MA3093000",0.061,"mg/L",9,"06/30/1992"
"10653","MA3100000",0.1,"mg/L",20,"06/30/1992"
"10654","MA3105000",0.023,"mg/L",1,"12/31/1992"
"10655","MA3107000",0.0275,"mg/L",2,"12/31/1995"
"10656","TX2290001",1.54,"mg/L",3,"12/31/1993"
"10657","TX2290003",3.6,"mg/L",2,"06/30/1994"
"10658","TX2290042",4.55,"mg/L",3,"06/30/1995"
"10659","CA1200522",0.205,"mg/L",5,"07/31/1993"
"10660","CA1200737",0.029,"mg/L",1,"07/31/1993"
"10661","CA1300579",0.037,"mg/L",1,"07/31/1993"
"10662","CA1500405",0.059,"mg/L",1,"07/31/1993"
"10663","CA1502231",0.019,"mg/L",5,"07/31/1993"
"10664","CA1600017",0.061,"mg/L",1,"07/31/1993"
"10665","CA1710008",0.032,"mg/L",6,"07/31/1993"
"10666","CA1900707",0.21,"mg/L",1,"07/31/1993"
"10667","CA1900912",0.028,"mg/L",1,"07/31/1993"
"10668","CA1910052",0.475,"mg/L",33,"06/01/1995"
"10669","CA2000644",0.0165,"mg/L",1,"07/31/1993"
"10670","TX2470019",3.49,"mg/L",2,"12/31/1994"
"10671","TX2470022",0.02,"mg/L",1,"12/31/1994"
"10672","CA4900680",0.026,"mg/L",5,"12/31/2001"
"10673","CA4900693",0.17,"mg/L",1,"12/31/2003"
"10674","CA3810700",0.0315,"mg/L",2,"01/31/1994"
"10675","CA3910005",0.018,"mg/L",1,"01/31/1993"
"10676","CA4000589",0.024,"mg/L",1,"01/31/1994"
"10677","CA4000676",0.028,"mg/L",1,"07/31/1993"
"10678","CA4110001",0.07,"mg/L",11,"01/31/1993"
"10679","CA4110006",0.033,"mg/L",5,"01/31/1993"
"10680","CA4110011",0.022,"mg/L",3,"01/31/1993"
"10681","CA4110017",0.018,"mg/L",7,"01/31/1993"
"10682","CA4110021",0.041,"mg/L",6,"01/31/1993"
"10683","CA4110022",0.028,"mg/L",10,"07/31/1992"
"10684","CA4200710",0.042,"mg/L",1,"07/31/1993"
"10685","CA4300610",0.64,"mg/L",5,"07/31/1993"
"10686","CA4310009",0.03,"mg/L",9,"06/30/1993"
"10687","CA4310021",0.096,"mg/L",8,"06/30/1993"
"10688","CA4500041",0.016,"mg/L",1,"07/31/1994"
"10689","CA4510007",0.025,"mg/L",1,"07/31/1993"
"10690","CA4700582",0.056,"mg/L",10,"07/31/1993"
"10691","CA4810800",0.069,"mg/L",14,"07/31/1992"
"10692","CA4900739",0.059,"mg/L",1,"07/31/1993"
"10693","CA4901136",0.05,"mg/L",1,"07/31/1993"
"10694","CA5000109",0.053,"mg/L",1,"07/31/1993"
"10695","CA5200626",0.146,"mg/L",1,"07/31/1993"
"10696","CT0120302",0.02,"mg/L",1,"12/31/2000"
"10697","CT0670122",0.037,"mg/L",3,"12/31/2000"
"10698","CT0080052",3.25,"mg/L",13,"06/30/2000"
"10699","CT0140102",2.35,"mg/L",1,"06/30/2000"
"10700","CT0220041",1.6,"mg/L",7,"06/30/2000"
"10701","CT0500021",1.4,"mg/L",4,"12/31/2000"
"10702","CT0610422",4.25,"mg/L",9,"06/30/1994"
"10703","CT0740442",3.23,"mg/L",2,"12/31/2000"
"10704","CT1340222",2.95,"mg/L",6,"06/30/2000"
"10705","CT1490102",2.26,"mg/L",4,"12/31/2000"
"10706","CT1520061",3.24,"mg/L",4,"06/30/2000"
"10707","CT1661252",4.17,"mg/L",4,"12/31/2000"
"10708","CA2000844",0.027,"mg/L",1,"07/31/1993"
"10709","CA2010014",0.19,"mg/L",1,"07/31/1993"
"10710","CA2300770",0.026,"mg/L",4,"07/31/1993"
"10711","CA2400061",0.025,"mg/L",1,"07/31/1993"
"10712","CA2410950",0.12,"mg/L",16,"01/31/1994"
"10713","CA2500512",0.017,"mg/L",1,"07/31/1993"
"10714","CA2500515",0.022,"mg/L",1,"07/31/1993"
"10715","CA2700613",0.02,"mg/L",1,"07/31/1993"
"10716","CA2700656",0.0165,"mg/L",1,"07/31/1993"
"10717","CA2710001",0.04,"mg/L",1,"01/31/1993"
"10718","CA2801050",0.018,"mg/L",1,"07/31/1993"
"10719","CA2900528",0.052,"mg/L",1,"07/31/1993"
"10720","CA2910006",0.26,"mg/L",1,"07/31/1993"
"10721","CA3110028",0.046,"mg/L",4,"07/31/1993"
"10722","CA3310002",0.025,"mg/L",1,"01/31/1993"
"10723","CA3310051",0.025,"mg/L",1,"06/01/1994"
"10724","CA3410015",0.0312,"mg/L",1,"01/31/1994"
"10725","CA3410047",0.016,"mg/L",1,"07/31/1993"
"10726","CA3600215",0.027,"mg/L",1,"07/31/1993"
"10727","CA3600790",0.024,"mg/L",1,"07/31/1993"
"10728","CA3710801",0.047,"mg/L",6,"07/31/1993"
"10729","CA2300829",0.018,"mg/L",3,"12/31/2002"
"10730","MA1106000",0.036,"mg/L",1,"12/31/1993"
"10731","MA1061000",0.11,"mg/L",2,"12/31/1992"
"10732","MA1074001",0.02,"mg/L",2,"12/31/1992"
"10733","CT0190372",1.8,"mg/L",1,"12/31/1993"
"10734","CT0201011",1.71,"mg/L",2,"06/30/1994"
"10735","CT0209123",9.5,"mg/L",2,"12/31/1993"
"10736","CT0209263",2.75,"mg/L",1,"06/30/1994"
"10737","CT0221122",2.8,"mg/L",4,"12/31/1997"
"10738","CT0428031",1.97,"mg/L",4,"06/30/1994"
"10739","CT0429043",4.25,"mg/L",2,"06/30/1994"
"10740","CT0459093",3.87,"mg/L",2,"12/31/1993"
"10741","CT0481021",1.44,"mg/L",1,"06/30/1996"
"10742","CT0500021",1.4,"mg/L",4,"12/31/1994"
"10743","CT0509083",3.6,"mg/L",2,"12/31/1993"
"10744","CT0509093",4.56,"mg/L",2,"12/31/1994"
"10745","CT0530233",1.75,"mg/L",1,"12/31/1993"
"10746","CT0540011",2.35,"mg/L",2,"12/31/1993"
"10747","CT0540042",2.3,"mg/L",1,"12/31/1993"
"10748","CT0549013",6.06,"mg/L",5,"12/31/1993"
"10749","TX2460061",3.05,"mg/L",2,"06/30/1993"
"10750","CT0105033",1.8,"mg/L",1,"12/31/2001"
"10751","CT1170062",2.6,"mg/L",18,"12/31/1995"
"10752","CT1355033",2,"mg/L",4,"06/30/1996"
"10753","CT1570132",2.4,"mg/L",7,"07/27/1999"
"10754","CT0320132",0.018,"mg/L",1,"06/30/2000"
"10755","CT0540192",0.029,"mg/L",1,"06/30/2000"
"10756","CT0820072",0.179,"mg/L",5,"06/30/2000"
"10757","CT1170152",0.04,"mg/L",1,"06/30/2000"
"10758","CT1630392",0.023,"mg/L",1,"12/31/2000"
"10759","AZ0402020",0.034,"mg/L",2,"12/31/2002"
"10760","MA2034018",0.0215,"mg/L",2,"06/30/2000"
"10761","CT0780122",0.0215,"mg/L",1,"12/31/2000"
"10762","CT0960041",0.031,"mg/L",1,"12/31/2000"
"10763","CT0140112",1.46,"mg/L",3,"12/31/2000"
"10764","CT0459103",2.48,"mg/L",2,"12/31/2000"
"10765","CT0670112",1.76,"mg/L",7,"07/01/2000"
"10766","CT0720101",1.35,"mg/L",7,"12/31/2000"
"10767","CT0861111",7.19,"mg/L",3,"12/31/2000"
"10768","CT0560372",2.18,"mg/L",7,"06/30/1994"
"10769","CT0570062",1.4,"mg/L",1,"12/31/1995"
"10770","CT0570202",4.24,"mg/L",8,"12/31/1993"
"10771","CT0590021",8.2,"mg/L",1,"12/31/1993"
"10772","CT0601031",2.17,"mg/L",1,"12/31/1995"
"10773","CT0607011",4.2,"mg/L",5,"06/30/1994"
"10774","CT0614021",4.435,"mg/L",5,"06/30/1994"
"10775","CT0650102",1.38,"mg/L",5,"06/30/1994"
"10776","CT0670021",2.7,"mg/L",1,"12/31/1998"
"10777","CT0670022",1.45,"mg/L",1,"06/30/1994"
"10778","CT0680021",2.37,"mg/L",1,"12/31/1993"
"10779","CT0690011",2.1,"mg/L",2,"12/31/1992"
"10780","CT0690502",4.45,"mg/L",1,"06/30/1994"
"10781","CT0691203",2.6,"mg/L",5,"06/30/1999"
"10782","CT0719073",2.75,"mg/L",3,"12/31/1995"
"10783","CT0720011",3.45,"mg/L",1,"12/31/1995"
"10784","CT0720041",4.3,"mg/L",4,"12/31/1993"
"10785","TX2350002",1.45,"mg/L",1,"01/01/1992"
"10786","TX2460061",3.05,"mg/L",2,"01/01/1993"
"10787","CA5610006",0.0277,"mg/L",5,"12/31/2004"
"10788","WI2681441",0.0205,"mg/L",1,"12/31/1993"
"10789","WI2683040",0.0155,"mg/L",1,"12/31/1998"
"10790","WI6320249",1.57,"mg/L",3,"12/31/2004"
"10791","WI4600435",1.74,"mg/L",1,"12/31/1996"
"10792","VA3175460",0.024,"mg/L",2,"12/31/2002"
"10793","VA6047100",1.48,"mg/L",1,"05/01/1994"
"10794","VA6047225",3.401,"mg/L",3,"12/31/1995"
"10795","VA6047250",1.92,"mg/L",2,"03/23/1994"
"10796","VA6047318",1.4,"mg/L",2,"12/31/1996"
"10797","VA6047360",2.642,"mg/L",6,"07/01/1993"
"10798","VA6047391",1.5,"mg/L",6,"07/01/1993"
"10799","VA6047433",1.352,"mg/L",6,"06/30/1996"
"10800","VA6047950",2.334,"mg/L",2,"12/31/1996"
"10801","VA6059005",3.5,"mg/L",1,"07/01/1993"
"10802","VA6059300",2.5,"mg/L",1,"01/01/1994"
"10803","VA6059364",2,"mg/L",2,"07/01/1993"
"10804","VA6059520",1.5,"mg/L",2,"07/01/1993"
"10805","VA6059529",4.6,"mg/L",2,"07/01/1993"
"10806","VA6059600",1.54,"mg/L",1,"01/01/1994"
"10807","VA5141815",0.023,"mg/L",2,"12/31/2005"
"10808","WI6030282",1.6,"mg/L",2,"06/30/1994"
"10809","WI4710869",0.0185,"mg/L",1,"12/31/1996"
"10810","WI6030394",1.82,"mg/L",2,"12/31/2004"
"10811","VA5143861",0.035,"mg/L",2,"12/31/2000"
"10812","VA6059685",3.6,"mg/L",3,"06/30/1996"
"10813","NE3121021",1.425,"mg/L",1,"06/30/2003"
"10814","NE3121060",1.56,"mg/L",1,"06/30/2003"
"10815","VA5089255",1.54,"mg/L",2,"06/30/1994"
"10816","VA6059750",11.4,"mg/L",1,"12/31/1996"
