"","PWSID","Maximum_sample_exceedence","Units","total_violations","SAMPLING_END_DATE"
"19328","FL2014167",0.0484,"mg/L",1,"12/01/2005"
"19329","OH6600012",0.04163,"mg/L",3,"12/31/2007"
"19330","PA1150037",0.018,"mg/L",1,"12/31/2004"
"19331","PA1150211",2.09,"mg/L",2,"12/31/2005"
"19332","PA1150349",4.15,"mg/L",3,"12/31/2004"
"19333","PA1150599",0.03,"mg/L",1,"12/31/2004"
"19334","PA1150675",1.6,"mg/L",1,"12/31/2004"
"19335","NC0136204",2.325,"mg/L",4,"12/31/1993"
"19336","NC0136205",3.4,"mg/L",7,"06/30/1997"
"19337","NC0136208",6.155,"mg/L",4,"12/31/1994"
"19338","NC0136214",2.37,"mg/L",2,"12/31/1993"
"19339","NC0136219",8.499,"mg/L",5,"12/31/1993"
"19340","NC0136222",2.025,"mg/L",3,"06/30/1994"
"19341","NC0136231",7.6,"mg/L",6,"12/31/2001"
"19342","NC0136237",2.4,"mg/L",5,"06/30/2000"
"19343","NC0136242",7.351,"mg/L",4,"12/31/1994"
"19344","NC0136244",1.912,"mg/L",2,"12/31/1993"
"19345","NC0136249",1.6,"mg/L",2,"06/30/2000"
"19346","NC0136252",0.027,"mg/L",2,"06/30/1997"
"19347","NC0392374",0.059,"mg/L",2,"12/31/1994"
"19348","NC0392386",1.967,"mg/L",2,"12/31/1993"
"19349","NC0392389",1.51,"mg/L",2,"12/31/1996"
"19350","NC0392427",1.67,"mg/L",2,"12/31/1993"
"19351","NC0392473",0.048,"mg/L",2,"12/31/1993"
"19352","NC0392514",0.027,"mg/L",2,"12/31/1993"
"19353","NC0138404",1.563,"mg/L",4,"12/31/1993"
"19354","NC0144025",0.032,"mg/L",4,"12/31/2001"
"19355","NC0144113",0.017,"mg/L",2,"06/30/1994"
"19356","NC0144127",0.021,"mg/L",2,"06/30/1994"
"19357","NC0144576",2.6,"mg/L",6,"12/31/1993"
"19358","NC0392880",6.52,"mg/L",6,"12/31/1994"
"19359","NC0392892",2.3,"mg/L",5,"12/31/2004"
"19360","NC0392992",0.026,"mg/L",2,"12/31/1993"
"19361","NC0416193",2.78,"mg/L",2,"12/31/2007"
"19362","NC0407545",1.6,"mg/L",4,"12/31/2001"
"19363","NC0407557",2.551,"mg/L",2,"12/31/1993"
"19364","OK5005516",1.352,"mg/L",2,"12/31/2003"
"19365","OK6002158",1.44,"mg/L",2,"06/30/2004"
"19366","IL3047050",0.041,"mg/L",1,"12/31/2004"
"19367","IL3047530",5.119,"mg/L",5,"12/31/2002"
"19368","DE0020039",0.031,"mg/L",1,"12/31/2011"
"19369","DE0000263",2.1,"mg/L",2,"06/30/2012"
"19370","AL0000767",5.76,"mg/L",4,"06/30/2012"
"19371","NC0407558",1.8,"mg/L",4,"06/30/2000"
"19372","NC0407559",1.665,"mg/L",3,"06/30/1994"
"19373","NC0407560",2.774,"mg/L",2,"12/31/1993"
"19374","NC0410025",0.048,"mg/L",8,"06/30/2003"
"19375","NC0410035",0.017,"mg/L",2,"12/31/1993"
"19376","NC0410045",0.056,"mg/L",4,"12/31/2002"
"19377","NC0410050",0.025,"mg/L",2,"06/30/1994"
"19378","NC0467048",0.369,"mg/L",2,"12/31/1993"
"19379","NC0467136",0.03,"mg/L",6,"12/31/2002"
"19380","NC0467224",0.084,"mg/L",2,"12/31/2002"
"19381","NC0467228",0.025,"mg/L",2,"12/31/2000"
"19382","NC0467229",0.019,"mg/L",2,"12/31/2003"
"19383","NC0467555",0.024,"mg/L",2,"12/31/2001"
"19384","NC0469025",0.028,"mg/L",4,"12/31/1992"
"19385","NC0471119",3.5,"mg/L",15,"06/30/2002"
"19386","NC0471412",1.68,"mg/L",6,"06/30/1994"
"19387","NC0471415",0.033,"mg/L",2,"12/31/1993"
"19388","NC0471438",0.043,"mg/L",2,"12/31/1993"
"19389","NC0471442",0.028,"mg/L",2,"12/31/1993"
"19390","NC0471444",0.021,"mg/L",2,"12/31/1993"
"19391","NC0471447",3,"mg/L",8,"12/31/2001"
"19392","NC0472101",0.065,"mg/L",2,"06/30/1994"
"19393","LA1063030",0.016,"mg/L",1,"12/31/2007"
"19394","IL3131052",0.039,"mg/L",2,"12/31/1997"
"19395","FL3590707",0.0305,"mg/L",1,"12/01/2011"
"19396","FL6291104",0.017,"mg/L",1,"12/01/2011"
"19397","NJ1918351",0.019,"mg/L",1,"12/31/2011"
"19398","NJ2110003",2,"mg/L",2,"12/31/2011"
"19399","NJ1704001",1.74,"mg/L",5,"12/31/2011"
"19400","NC0428025",0.082,"mg/L",6,"06/30/2000"
"19401","NC0428030",0.019,"mg/L",2,"12/31/1992"
"19402","NC0428414",1.7,"mg/L",7,"06/30/1997"
"19403","NC0431040",0.019,"mg/L",2,"12/31/2001"
"19404","NC0431044",2.929,"mg/L",2,"12/31/1993"
"19405","NC0431103",0.029,"mg/L",2,"12/31/2004"
"19406","NC0431463",0.025,"mg/L",2,"12/31/1993"
"19407","NC0431464",0.021,"mg/L",2,"12/31/1993"
"19408","NC0431485",2.9,"mg/L",2,"12/31/2004"
"19409","LA1103039",0.028,"mg/L",3,"12/31/2004"
"19410","LA1081009",0.02,"mg/L",1,"12/31/2004"
"19411","LA1083012",1.7,"mg/L",5,"12/31/2004"
"19412","LA1085007",0.022,"mg/L",2,"12/31/2004"
"19413","OR4100926",1.562,"mg/L",2,"12/31/1996"
"19414","OR4105984",2.212,"mg/L",5,"12/31/1998"
"19415","OR4191914",0.019,"mg/L",2,"12/31/1993"
"19416","OR4194948",0.0163,"mg/L",1,"12/31/2003"
"19417","OK4001427",1.9462,"mg/L",1,"06/30/2005"
"19418","IA3126310",0.022,"mg/L",2,"12/31/2008"
"19419","NY3903718",1.36,"mg/L",2,"12/31/2012"
"19420","NY3905699",1.36,"mg/L",3,"12/31/2012"
"19421","NY3922189",1.36,"mg/L",2,"12/31/2012"
"19422","NY3922703",1.36,"mg/L",1,"12/31/2012"
"19423","NY3921720",1.36,"mg/L",2,"12/31/2012"
"19424","NY3921739",1.36,"mg/L",2,"12/31/2012"
"19425","IA0990701",0.0748,"mg/L",2,"06/30/2010"
"19426","NC0474035",0.03,"mg/L",2,"12/31/1993"
"19427","NC0489010",0.018,"mg/L",2,"12/31/1993"
"19428","NC0494020",0.016,"mg/L",2,"12/31/1993"
"19429","NC0494422",0.035,"mg/L",3,"12/31/1993"
"19430","NC0496030",0.031,"mg/L",2,"12/31/1993"
"19431","CO0154117",0.021,"mg/L",1,"12/31/2011"
"19432","GA0510121",0.0515,"mg/L",2,"12/31/2002"
"19433","NC0136261",2.18,"mg/L",4,"12/31/1993"
"19434","NC0136268",4.105,"mg/L",4,"12/31/1994"
"19435","NC0136279",1.9,"mg/L",6,"12/31/2000"
"19436","NC0136290",2.048,"mg/L",2,"12/31/1993"
"19437","NC0136293",8.295,"mg/L",2,"12/31/1993"
"19438","NC0136294",3.8,"mg/L",12,"12/31/2000"
"19439","NC0136300",0.072,"mg/L",2,"06/30/1994"
"19440","NC0136304",1.9,"mg/L",4,"12/31/2001"
"19441","NC0136310",1.477,"mg/L",2,"12/31/1994"
"19442","NC0136313",0.016,"mg/L",2,"06/30/1994"
"19443","NC0136320",1.946,"mg/L",3,"12/31/1993"
"19444","NC0136324",1.916,"mg/L",5,"12/31/1994"
"19445","NC0136364",1.474,"mg/L",2,"06/30/1995"
"19446","NC0136372",0.023,"mg/L",2,"12/31/1993"
"19447","NC0136378",1.8,"mg/L",2,"12/31/2004"
"19448","NC0136384",0.089,"mg/L",2,"12/31/2004"
"19449","NC0136386",7.161,"mg/L",2,"12/31/1993"
"19450","NC0136519",0.0225,"mg/L",2,"12/31/1996"
"19451","NC0136536",2.2,"mg/L",8,"12/31/2003"
"19452","NC0136537",3.36,"mg/L",2,"12/31/1993"
"19453","NC0136547",0.026,"mg/L",2,"12/31/1993"
"19454","NC0136558",5.8,"mg/L",20,"06/30/2000"
"19455","NC0136582",7.3,"mg/L",14,"06/30/2004"
"19456","NC0136678",2.8,"mg/L",9,"12/31/2003"
"19457","GA0510034",0.016,"mg/L",2,"12/31/2004"
"19458","IA2561101",0.13,"mg/L",7,"12/31/2009"
"19459","NJ1922314",0.0249,"mg/L",2,"12/31/2011"
"19460","NC0138103",0.021,"mg/L",5,"12/31/1994"
"19461","NC0138105",0.021,"mg/L",2,"06/30/1994"
"19462","NC0138106",5.35,"mg/L",4,"12/31/1993"
"19463","NC0138107",1.48,"mg/L",8,"12/31/1994"
"19464","NC0145010",0.037,"mg/L",8,"12/31/2000"
"19465","NC0410524",0.101,"mg/L",7,"12/31/2002"
"19466","NC0410553",1.8,"mg/L",2,"06/30/1997"
"19467","NC0415015",0.032,"mg/L",2,"06/30/2000"
"19468","NC0416010",1.35,"mg/L",2,"06/30/1993"
"19469","NC0416020",1.4,"mg/L",2,"12/31/2003"
"19470","OH6831112",0.0272,"mg/L",2,"12/31/1993"
"19471","NC0424055",0.019,"mg/L",3,"06/30/1994"
"19472","NC0424110",0.049,"mg/L",4,"12/31/2000"
"19473","NC0424415",0.042,"mg/L",2,"12/31/1993"
"19474","NC0150507",3.6,"mg/L",5,"06/30/2002"
"19475","IA5221802",0.021,"mg/L",1,"12/31/2007"
"19476","083090074",0.021,"mg/L",1,"12/31/2005"
"19477","NC0145030",0.048,"mg/L",2,"12/31/1993"
"19478","NC0145105",2.69,"mg/L",6,"12/31/1995"
"19479","NC0145115",0.025,"mg/L",3,"12/31/1993"
"19480","NC0145135",8.85,"mg/L",6,"12/31/1993"
"19481","NC0145140",1.79,"mg/L",2,"12/31/1993"
"19482","NJ1021432",0.0394,"mg/L",1,"12/31/2011"
"19483","TX2260027",0.0356,"mg/L",3,"12/31/2005"
"19484","TX1700705",0.0307,"mg/L",1,"12/31/2005"
"19485","MA2037019",2.25,"mg/L",9,"12/31/2011"
"19486","OR4100171",2.1,"mg/L",2,"06/30/1995"
"19487","NC0410070",0.039,"mg/L",4,"12/31/2001"
"19488","NC0410130",1.8,"mg/L",5,"12/31/1993"
"19489","OR4190416",2.26,"mg/L",12,"06/30/1993"
"19490","OR4190531",1.6,"mg/L",2,"12/31/1993"
"19491","OR4190541",2.24,"mg/L",6,"06/30/2000"
"19492","OR4190552",0.027,"mg/L",4,"06/30/2004"
"19493","OR4190556",4.38,"mg/L",13,"06/30/1995"
"19494","NY3921740",1.36,"mg/L",2,"12/31/2012"
"19495","NY3930002",1.36,"mg/L",2,"12/31/2012"
"19496","NY3930031",1.36,"mg/L",1,"12/31/2012"
"19497","OR4191505",0.017,"mg/L",2,"12/31/2004"
"19498","OR4191506",0.019,"mg/L",2,"12/31/1993"
"19499","OR4191707",2.17,"mg/L",4,"12/31/1993"
"19500","OR4191717",2.1,"mg/L",4,"12/31/2001"
"19501","OR4191770",1.7,"mg/L",2,"12/31/2003"
"19502","NE3111915",1.79,"mg/L",1,"12/31/1993"
"19503","NE3112104",1.75,"mg/L",1,"12/31/1993"
"19504","NE3112303",1.75,"mg/L",3,"12/31/1993"
"19505","NE3112503",1.97,"mg/L",1,"12/31/1993"
"19506","NE3112702",2.7,"mg/L",2,"12/31/1993"
"19507","NE3112706",3.1,"mg/L",3,"12/31/1993"
"19508","NE3113101",2.32,"mg/L",2,"12/31/1993"
"19509","NE3113103",2,"mg/L",2,"12/31/1993"
"19510","NE3113107",2.03,"mg/L",3,"12/31/1993"
"19511","NE3114114",1.58,"mg/L",1,"12/31/1993"
"19512","NE3115101",2.45,"mg/L",1,"12/31/1993"
"19513","NE3115105",3.36,"mg/L",3,"12/31/1993"
"19514","NE3115106",2.95,"mg/L",6,"12/31/1993"
"19515","NE3115305",1.695,"mg/L",1,"12/31/1993"
"19516","NE3115309",2.86,"mg/L",11,"12/31/1993"
"19517","NE3115501",3.2,"mg/L",1,"12/31/1993"
"19518","NE3115506",2.46,"mg/L",2,"12/31/1993"
"19519","NE3115510",2.32,"mg/L",6,"12/31/1993"
"19520","NE3115511",2.33,"mg/L",3,"12/31/1993"
"19521","NE3115705",1.86,"mg/L",1,"12/31/1993"
"19522","NE3115904",2.93,"mg/L",4,"12/31/1993"
"19523","LA1097002",1.5,"mg/L",1,"12/31/2004"
"19524","LA1097015",2,"mg/L",3,"12/31/2004"
"19525","IL1030150",1.55,"mg/L",2,"12/31/2005"
"19526","IL1030450",0.025,"mg/L",4,"12/31/2004"
"19527","GA0930032",0.0328,"mg/L",2,"12/31/2003"
"19528","OR4100313",0.036,"mg/L",3,"06/30/2003"
"19529","OR4100323",1.75,"mg/L",2,"12/31/1993"
"19530","OR4100329",1.41,"mg/L",3,"06/30/1994"
"19531","IA3564901",0.0255,"mg/L",1,"12/31/2010"
"19532","IA6649801",0.023,"mg/L",1,"12/31/2009"
"19533","IA8225301",0.02,"mg/L",2,"12/31/2011"
"19534","IL3037390",0.0195,"mg/L",2,"12/31/2002"
"19535","MS0450017",1.351,"mg/L",1,"12/31/2005"
"19536","LA1079028",0.025,"mg/L",1,"12/31/2004"
"19537","LA1081007",0.028,"mg/L",1,"12/31/2004"
"19538","NC0145143",1.685,"mg/L",4,"06/30/1994"
"19539","NC0145143",1.685,"mg/L",4,"12/31/1993"
"19540","NC0145144",2.5,"mg/L",3,"06/30/2001"
"19541","NC0145146",2.6,"mg/L",6,"12/31/2001"
"19542","NC0145147",1.84,"mg/L",2,"12/31/1993"
"19543","NC0145149",3.05,"mg/L",14,"12/31/1993"
"19544","NC0145152",2.1,"mg/L",4,"12/31/2004"
"19545","NC0145161",0.025,"mg/L",2,"12/31/1993"
"19546","NC0145178",0.018,"mg/L",2,"12/31/2000"
"19547","NC0145418",0.05,"mg/L",2,"12/31/1993"
"19548","NC0145427",0.018,"mg/L",2,"12/31/2002"
"19549","NC0145443",0.018,"mg/L",2,"12/31/1993"
"19550","NC0145554",3,"mg/L",9,"06/30/2000"
"19551","NC0149010",0.023,"mg/L",2,"06/30/1993"
"19552","NC0149035",0.207,"mg/L",2,"12/31/2000"
"19553","NC0149141",2.629,"mg/L",2,"12/31/1994"
"19554","NC0149158",0.039,"mg/L",2,"12/31/1993"
"19555","NC0149168",1.496,"mg/L",2,"12/31/1994"
"19556","NC0149175",0.053,"mg/L",2,"12/31/1993"
"19557","NC0149484",2.22,"mg/L",9,"06/30/2005"
"19558","NC0149506",1.536,"mg/L",4,"06/30/1994"
"19559","NC0149509",0.024,"mg/L",2,"12/31/1993"
"19560","NC0149546",1.4,"mg/L",2,"12/31/2003"
"19561","NC0149584",0.018,"mg/L",2,"12/31/2000"
"19562","NC0150035",0.036,"mg/L",2,"12/31/1992"
"19563","NC0150103",0.024,"mg/L",2,"06/30/1994"
"19564","NC0150123",0.026,"mg/L",2,"12/31/2000"
"19565","NC0150128",1.49,"mg/L",2,"12/31/1993"
"19566","NC0150134",2.24,"mg/L",2,"06/30/1994"
"19567","NC0150157",0.26,"mg/L",10,"06/30/1997"
"19568","IA5260017",0.057,"mg/L",2,"12/31/2001"
"19569","TX2400002",0.05055,"mg/L",1,"06/30/2005"
"19570","NC0103103",0.325,"mg/L",1,"12/31/2007"
"19571","NC0105101",3.39,"mg/L",5,"12/31/2005"
"19572","IL3000836",1.0015,"mg/L",1,"12/31/2006"
"19573","IA2570301",0.0646,"mg/L",5,"12/31/2010"
"19574","IA2809055",0.0169,"mg/L",1,"12/31/2008"
"19575","IL3086454",0.02,"mg/L",1,"12/31/2011"
"19576","IL3000745",0.082,"mg/L",1,"12/31/2011"
"19577","IL3117887",0.022,"mg/L",3,"12/31/2011"
"19578","IL3155291",0.111,"mg/L",5,"12/31/2011"
"19579","OR4191799",0.03,"mg/L",4,"06/30/1994"
"19580","OR4191805",3.9,"mg/L",13,"06/30/1998"
"19581","NC0464020",1.696,"mg/L",2,"06/30/1993"
"19582","NC0464035",0.018,"mg/L",2,"12/31/1993"
"19583","NC0464050",4.92,"mg/L",5,"12/31/1993"
"19584","NC0431491",2,"mg/L",4,"12/31/2002"
"19585","NC0431523",2,"mg/L",2,"12/31/2000"
"19586","NC0433040",0.224,"mg/L",2,"12/31/1993"
"19587","NC0433045",0.03,"mg/L",2,"06/30/1994"
"19588","NC0433406",0.036,"mg/L",2,"12/31/1993"
"19589","NC0440010",0.025,"mg/L",2,"12/31/1995"
"19590","NC0442035",0.172,"mg/L",2,"12/31/2003"
"19591","LA1099010",1.5,"mg/L",1,"12/31/2004"
"19592","GA0510139",0.0975,"mg/L",2,"12/31/2002"
"19593","PA7010979",1.73,"mg/L",1,"12/31/2004"
"19594","PA7220456",0.0211,"mg/L",3,"06/30/2005"
"19595","PA7360024",2.1,"mg/L",2,"12/31/2004"
"19596","PA7360035",4.31,"mg/L",3,"12/31/2004"
"19597","PA7360442",2.5,"mg/L",4,"12/31/2004"
"19598","PA7360811",2.6,"mg/L",3,"06/30/2005"
"19599","PA7380012",2.1,"mg/L",1,"12/31/2004"
"19600","PA7380032",2.7,"mg/L",2,"12/31/2004"
"19601","PA7380388",0.049,"mg/L",1,"06/30/2005"
"19602","PA7380420",1.8,"mg/L",2,"12/31/2004"
"19603","WY5601184",0.022,"mg/L",2,"12/31/2001"
"19604","WY5601252",2.93,"mg/L",1,"12/31/1999"
"19605","WY5601397",0.018,"mg/L",2,"12/31/2002"
"19606","WY5680122",1.4,"mg/L",4,"12/31/2002"
"19607","IA1286801",0.06,"mg/L",1,"12/31/2009"
"19608","OR4190573",6.65,"mg/L",4,"12/31/2004"
"19609","OR4190582",2.033,"mg/L",2,"06/30/1994"
"19610","OR4190587",7.45,"mg/L",9,"06/30/1997"
"19611","OR4190595",0.14,"mg/L",8,"12/31/1999"
"19612","OR4190597",3.1,"mg/L",8,"12/31/1993"
"19613","OR4190606",1.7,"mg/L",4,"12/31/1993"
"19614","OR4190668",0.0217,"mg/L",1,"12/31/2001"
"19615","OR4190722",0.021,"mg/L",2,"12/31/1993"
"19616","OR4190723",2.38,"mg/L",1,"06/30/2000"
"19617","OR4190888",1.66,"mg/L",4,"12/31/1997"
"19618","OR4190889",0.057,"mg/L",9,"12/31/1994"
"19619","OR4190963",2.7945,"mg/L",4,"12/31/1993"
"19620","OR4191211",1.94,"mg/L",6,"12/31/1993"
"19621","OR4191213",1.613,"mg/L",5,"06/30/1999"
"19622","NC0416028",2.912,"mg/L",5,"12/31/1992"
"19623","NC0416035",2.27,"mg/L",2,"12/31/1992"
"19624","NC0416040",2.219,"mg/L",2,"12/31/1992"
"19625","NC0416136",0.019,"mg/L",5,"12/31/1993"
"19626","NC0416136",0.019,"mg/L",5,"06/30/2002"
"19627","NC0416165",0.017,"mg/L",2,"06/30/2001"
"19628","NC0416402",2.2,"mg/L",6,"06/30/1997"
"19629","NC0416410",0.05,"mg/L",4,"12/31/1993"
"19630","NC0448020",0.022,"mg/L",2,"12/31/1994"
"19631","NC0454020",0.018,"mg/L",2,"12/31/1993"
"19632","NE3115907",2.29,"mg/L",3,"12/31/1993"
"19633","NE3115909",2,"mg/L",1,"12/31/1993"
"19634","NE3115912",2.39,"mg/L",3,"12/31/1993"
"19635","NE3116702",2.32,"mg/L",1,"12/31/1993"
"19636","NE3116902",3.07,"mg/L",2,"12/31/1993"
"19637","NE3116905",2,"mg/L",2,"12/31/1993"
"19638","NE3117308",1.642,"mg/L",1,"12/31/1993"
"19639","NE3118702",2.09,"mg/L",2,"12/31/1993"
"19640","NE3118703",2.51,"mg/L",5,"12/31/1993"
"19641","NE3120007",1.45,"mg/L",1,"12/31/1993"
"19642","NE3120035",2.38,"mg/L",2,"12/31/1993"
"19643","NE3120162",2.52,"mg/L",2,"12/31/1993"
"19644","NE3120287",1.87,"mg/L",1,"12/31/1993"
"19645","NE3120292",2,"mg/L",1,"12/31/1993"
"19646","NE3120345",2.65,"mg/L",1,"12/31/1993"
"19647","NE3120483",2.45,"mg/L",5,"12/31/1993"
"19648","NE3120604",1.56,"mg/L",1,"12/31/1993"
"19649","NE3120617",3.56,"mg/L",1,"12/31/1993"
"19650","NE3120706",3.1,"mg/L",1,"12/31/1993"
"19651","NE3120708",1.76,"mg/L",1,"12/31/1993"
"19652","NE3150203",1.46,"mg/L",1,"12/31/1993"
"19653","NE3150386",1.87,"mg/L",1,"12/31/1993"
"19654","NE3150393",2.88,"mg/L",1,"12/31/1993"
"19655","NE3150395",2.65,"mg/L",2,"12/31/1993"
"19656","NE3150536",1.44,"mg/L",1,"12/31/1993"
"19657","NE3150540",1.9,"mg/L",1,"12/31/1993"
"19658","NE3150543",2.02,"mg/L",1,"12/31/1993"
"19659","NE3150655",3.42,"mg/L",1,"12/31/1993"
"19660","NE3107501",1.69,"mg/L",1,"12/31/1998"
"19661","NE3109902",2.04,"mg/L",2,"12/31/1998"
"19662","NE3116909",1.37,"mg/L",2,"12/31/1998"
"19663","NE3118701",1.76,"mg/L",4,"12/31/1998"
"19664","NE3120702",2.98,"mg/L",2,"12/31/1998"
"19665","GA0970002",1.45,"mg/L",2,"12/31/2002"
"19666","MS0500012",0.0417,"mg/L",1,"12/31/2004"
"19667","IL3123687",1.76,"mg/L",12,"12/31/1993"
"19668","ID3140136",0.081,"mg/L",2,"12/31/2005"
"19669","ID5130001",0.018,"mg/L",2,"12/31/2000"
"19670","ID5160041",0.028,"mg/L",2,"12/31/2001"
"19671","ID7100201",1.44,"mg/L",2,"12/31/2005"
"19672","083090003",1.7,"mg/L",1,"12/31/2005"
"19673","NC0410065",0.019,"mg/L",2,"12/31/1993"
"19674","IL3046680",2.113,"mg/L",10,"06/30/2000"
"19675","NC0136167",0.018,"mg/L",2,"12/31/2000"
"19676","NC0136170",5.277,"mg/L",6,"12/31/1994"
"19677","NC0136182",2.34,"mg/L",2,"12/31/1994"
"19678","NC0136184",3.493,"mg/L",2,"12/31/1993"
"19679","NC0136190",3.32,"mg/L",2,"12/31/1993"
"19680","NC0136195",4.35,"mg/L",4,"12/31/1993"
"19681","NC0136199",0.02,"mg/L",4,"06/30/1995"
"19682","NC0136203",0.016,"mg/L",2,"06/30/2003"
"19683","NC0382045",0.054,"mg/L",4,"12/31/1993"
"19684","NC0382501",0.018,"mg/L",2,"12/31/1993"
"19685","NC0382665",3.1,"mg/L",6,"12/31/1993"
"19686","NC0383105",1.47,"mg/L",2,"12/31/1993"
"19687","NJ1436358",1.54,"mg/L",4,"12/31/2011"
"19688","NJ1611318",5.74,"mg/L",4,"12/31/2011"
"19689","NJ2101315",1.4,"mg/L",2,"12/31/2011"
"19690","NJ1006367",2,"mg/L",2,"12/31/2011"
"19691","OK2005910",1.6,"mg/L",6,"06/30/2003"
"19692","OK2006362",1.49,"mg/L",3,"12/31/2004"
"19693","NC0392020",0.02,"mg/L",2,"06/30/2003"
"19694","NC0392055",0.028,"mg/L",2,"12/31/1992"
"19695","NC0392075",0.022,"mg/L",2,"12/31/2003"
"19696","NC0392077",1.49,"mg/L",2,"12/31/1993"
"19697","NC0392107",0.018,"mg/L",3,"06/30/1994"
"19698","NC0392118",0.027,"mg/L",3,"12/31/2003"
"19699","NC0392119",1.43,"mg/L",3,"06/30/1994"
"19700","VA3001658",7.19,"mg/L",5,"06/30/2012"
"19701","UTAH25028",0.023,"mg/L",2,"06/30/1995"
"19702","UTAH25034",1.55,"mg/L",1,"12/31/2002"
"19703","UTAH25098",0.066,"mg/L",1,"12/31/1993"
"19704","MS0150005",1.5531,"mg/L",1,"12/31/2005"
"19705","MS0240003",0.0567,"mg/L",1,"12/31/2004"
"19706","MS0240049",20.1275,"mg/L",1,"12/31/2004"
"19707","NC0149183",479.071,"mg/L",1,"12/31/2007"
"19708","NC0155135",0.022,"mg/L",1,"12/31/2007"
"19709","NC0160329",3.858,"mg/L",1,"12/31/2005"
"19710","NC0160888",1.8,"mg/L",4,"12/31/2005"
"19711","PA6200004",0.029,"mg/L",1,"12/31/2004"
"19712","PA6250045",0.021,"mg/L",1,"12/31/2004"
"19713","PA6430052",1.47,"mg/L",1,"12/31/2004"
"19714","PA6430999",2.29,"mg/L",3,"12/31/2004"
"19715","PA6530010",0.039,"mg/L",1,"12/31/2004"
"19716","PA6530015",3.11,"mg/L",3,"06/30/2005"
"19717","PA6620323",0.097,"mg/L",1,"12/31/2004"
"19718","NC0136335",1.947,"mg/L",2,"12/31/1994"
"19719","NC0136338",1.424,"mg/L",2,"12/31/1994"
"19720","NC0136339",0.041,"mg/L",2,"12/31/2000"
"19721","NC0136342",3.18,"mg/L",2,"06/30/1994"
"19722","NC0136355",3.035,"mg/L",11,"06/30/1994"
"19723","NC0136363",3.586,"mg/L",7,"12/31/1993"
"19724","NC0392318",1.4,"mg/L",4,"06/30/1997"
"19725","NC0392324",0.029,"mg/L",2,"12/31/1994"
"19726","NC0392331",0.045,"mg/L",4,"06/30/1997"
"19727","NC0392336",0.034,"mg/L",2,"12/31/1994"
"19728","NC0392340",3.8,"mg/L",4,"06/30/1997"
"19729","NC0392347",0.03,"mg/L",2,"12/31/1994"
"19730","NC0392364",1.374,"mg/L",2,"12/31/1993"
"19731","NC0392370",0.02,"mg/L",2,"12/31/1994"
"19732","NC0459442",0.046,"mg/L",2,"12/31/1994"
"19733","NC0465010",0.016,"mg/L",2,"12/31/1992"
"19734","NC0465025",0.022,"mg/L",7,"06/30/2004"
"19735","NC0465119",4.53,"mg/L",5,"12/31/1993"
"19736","NC0465197",0.021,"mg/L",2,"12/31/1993"
"19737","NC0465203",0.0365,"mg/L",2,"12/31/1993"
"19738","NC0465208",2.85,"mg/L",3,"06/30/1994"
"19739","NC0465209",0.02,"mg/L",2,"12/31/1993"
"19740","NC0465211",1.37,"mg/L",2,"12/31/1993"
"19741","NC0465223",0.038,"mg/L",2,"12/31/1993"
"19742","NC0465510",0.026,"mg/L",2,"12/31/1993"
"19743","NC0465522",1.5,"mg/L",11,"06/30/1997"
"19744","NC0465523",3.85,"mg/L",10,"12/31/1993"
"19745","NC0465532",0.035,"mg/L",2,"12/31/1993"
"19746","NC0465562",3.78,"mg/L",12,"12/31/1993"
"19747","NC0466045",4.772,"mg/L",8,"12/31/1993"
"19748","UTAH25138",0.024,"mg/L",2,"12/31/2002"
"19749","IL3129833",0.027,"mg/L",2,"12/31/1997"
"19750","IL3130716",0.025,"mg/L",1,"12/31/1999"
"19751","IL3002873",0.0275,"mg/L",4,"12/31/2002"
"19752","LA1067022",0.032,"mg/L",1,"12/31/2007"
"19753","IA2242018",0.0152,"mg/L",1,"12/31/2009"
"19754","NC0150158",0.016,"mg/L",2,"12/31/1993"
"19755","NC0150159",0.042,"mg/L",4,"06/30/1996"
"19756","NC0150159",0.042,"mg/L",4,"06/30/1995"
"19757","NC0150161",2.822,"mg/L",9,"06/30/1994"
"19758","NC0150163",8.2,"mg/L",19,"06/30/1997"
"19759","NC0150165",0.0195,"mg/L",2,"06/30/1994"
"19760","NC0150169",0.0195,"mg/L",4,"12/31/1993"
"19761","NC0150171",0.023,"mg/L",2,"12/31/2004"
"19762","NC0150178",1.9,"mg/L",2,"12/31/1993"
"19763","NC0150180",3.1,"mg/L",3,"12/31/2002"
"19764","NC0150463",4.4,"mg/L",28,"06/30/2002"
"19765","NC0150501",3.35,"mg/L",8,"12/31/1993"
"19766","IL3040402",0.0869,"mg/L",2,"12/31/2004"
"19767","NC0466109",2.47,"mg/L",2,"12/31/1993"
"19768","NC0467035",0.016,"mg/L",2,"12/31/2002"
"19769","NC0467041",0.334,"mg/L",4,"06/30/1993"
"19770","NC0467042",0.072,"mg/L",2,"06/30/1993"
"19771","NC0467043",0.018,"mg/L",2,"12/31/2002"
"19772","NC0467046",0.029,"mg/L",6,"12/31/2002"
"19773","NC0467047",0.017,"mg/L",2,"06/30/1994"
"19774","NC0498595",1.5,"mg/L",3,"12/31/2002"
"19775","NC1006005",0.021,"mg/L",2,"12/31/2005"
"19776","NC1081003",1.5,"mg/L",2,"12/31/2002"
