"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"21950","MD0030012","TT","Resolved",2653,2
"21951","MD1061132","MCL","Resolved",29,2
"21952","MD1171189","MCL","Resolved",29,1
"21953","ME0002008","TT","Archived",1799,8
"21954","ME0005108","TT","Resolved",2258,2
"21955","ME0095280","MCL","Resolved",91,12
"21956","MI0001230","TT","Resolved",378,5
"21957","MI0001915","MCL","Resolved",29,4
"21958","MI0004753","TT","Resolved",1721,6
"21959","MI0040497","MCL","Resolved",30,5
"21960","MI0040592","MCL","Resolved",91,4
"21961","MI2046281","MCL","Resolved",91,3
"21962","MI2046739","MCL","Resolved",30,6
"21963","MI2260463","MCL","Resolved",91,5
"21964","MN1730043","MCL","Resolved",89,5
"21965","MN5210366","MCL","Resolved",30,6
"21966","MN5280035","MCL","Resolved",364,5
"21967","MN5640172","MCL","Resolved",30,6
"21968","MO5036195","MCL","Resolved",30,4
"21969","MO5192285","TT","Resolved",1442,4
"21970","MO5218149","TT","Resolved",2482,4
"21971","MO5243207","MCL","Resolved",29,6
"21972","MO5252715","MCL","Resolved",30,4
"21973","MS0360069","TT","Resolved",2500,4
"21974","MT0000322","TT","Resolved",30,6
"21975","MT0000701","MCL","Resolved",30,5
"21976","MT0001262","TT","Resolved",1101,3
"21977","MT0001712","TT","Resolved",2499,3
"21978","MT0004039","TT","Resolved",1355,7
"21979","MT0042412","TT","Resolved",30,6
"21980","NC0114010","TT","Resolved",30,5
"21981","NC1050034","TT","Resolved",1467,5
"21982","NE3120783","MCL","Resolved",91,8
"21983","NH0862020","TT","Unaddressed",201,3
"21984","NH1277030","TT","Resolved",607,4
"21985","NH1279090","TT","Resolved",1679,4
"21986","NH1932060","TT","Resolved",1781,4
"21987","NJ0108360","TT","Resolved",1832,4
"21988","NJ0112321","TT","Unaddressed",1417,2
"21989","NJ0113357","TT","Archived",183,6
"21990","NJ0217001","MCL","Resolved",29,4
"21991","NJ1518329","TT","Resolved",729,3
"21992","NJ1611002","TT","Resolved",183,8
"21993","NJ1615324","TT","Archived",183,5
"21994","NJ1922398","MCL","Resolved",29,4
"21995","NV0005006","MCL","Resolved",30,4
"21996","NY0200402","MCL","Resolved",30,3
"21997","NY0416420","MCL","Archived",29,3
"21998","NY3509609","TT","Resolved",30,4
"21999","NY3511339","TT","Resolved",30,4
"22000","NY5130056","MCL","Resolved",90,3
"22001","NY5207495","TT","Resolved",676,2
"22002","OH2350212","MCL","Resolved",30,5
"22003","OH3834212","TT","Resolved",1908,4
"22004","OH4238112","MCL","Archived",91,3
"22005","OH4838212","TT","Resolved",2288,4
"22006","OH4945512","MCL","Resolved",91,3
