pwsid,total_samples,detection_share,concentration_avg,concentration_max,pfas_count
MA2011001,18,.055555556,.7099999785423279,.7099999785423279,1
MA2011002,18,0,0,0,0
MA2011004,74,.22972973,4.012250036001205,5.547999978065491,5
MA2011005,21,.2857143,3.539500057697296,3.663999974727631,3
MA2011008,18,0,0,0,0
MA2012002,36,0,0,0,0
MA2012005,18,0,0,0,0
MA2012006,18,.16666667,3.758000075817108,3.758000075817108,3
MA2012007,39,.07692308,1.330000028014183,3.990000069141388,3
MA2012008,36,.027777778,.3174999952316284,.6349999904632568,1
MA2012012,22,.22727273,1.016666650772095,1.319999992847443,2
MA2012013,18,.33333334,29.89999973773956,29.89999973773956,6
MA2012014,18,.3888889,12.14000004529953,12.14000004529953,7
MA2012015,18,0,0,0,0
MA2017000,969,.72342622,16.61486143246293,36.64500033855438,8
MA2017004,18,.11111111,1.490000009536743,1.490000009536743,2
MA2017012,107,.34579438,23.32083369791508,32.93199950456619,7
MA2019000,1833,.58483362,85.22464896924794,497.49200502038,15
MA2019001,2453,.44435385,34.18473058380187,316.2799993157387,17
MA2021000,175,.12571429,1.226814657449722,2.932999968528748,3
MA2021001,87,.19540229,3.294187188148499,6.676999986171722,4
MA2021007,18,.11111111,5.430000007152557,5.430000007152557,2
MA2025000,720,.46527779,18.39903290942311,67.18999838829041,8
MA2028004,48,.5,86.29749822616577,109.2299978733063,6
MA2028005,18,.055555556,1.139999985694885,1.139999985694885,1
MA2028006,15,0,0,0,0
MA2028007,132,.54545456,12.80854520946741,17.19500017166138,8
MA2028009,72,.27777779,6.330750048160553,7.980000019073486,5
MA2028011,18,.33333334,27.67999982833862,27.67999982833862,6
MA2028012,81,.24691358,3.737133249640465,7.6039999127388,5
MA2028013,18,.11111111,1.563000023365021,1.563000023365021,2
MA2028015,119,.47058824,10.29284451156855,15.58899998664856,7
MA2028017,37,.027027028,.2353333234786987,.7059999704360962,1
MA2028018,84,.14285715,4.554166615009308,15.45999991893768,6
MA2028019,21,.2857143,3.804499983787537,3.853000104427338,3
MA2028020,155,.5419355,12.57349457591772,19.14099997282028,7
MA2028021,24,0,0,0,0
MA2028022,94,.074468084,1.03195832669735,2.44899994134903,2
MA2032000,268,.58208954,16.58225137367845,37.82200044393539,9
MA2034001,109,.36697248,7.912472285330296,16.08799979090691,9
MA2034002,18,.22222222,5.117000043392181,5.117000043392181,4
MA2034003,35,.25714287,57.50149975717068,67.31299898028374,5
MA2034004,218,.3119266,16.07889421284199,34.38999998569489,8
MA2034006,72,.18055555,3.19700001180172,4.998000025749207,5
MA2034007,18,0,0,0,0
MA2034010,108,.18518518,7.253749966621399,12.37000000476837,4
MA2034011,65,.16923077,2.667533338069916,6.590000033378601,4
MA2034012,18,.22222222,4.627000093460083,4.627000093460083,4
MA2034016,18,0,0,0,0
MA2034017,18,.22222222,5.450000166893005,5.450000166893005,4
MA2034019,78,.24358974,5.760400027036667,11.69999992847443,6
MA2034020,18,0,0,0,0
MA2034022,90,.2888889,6.355399906635284,10.08999991416931,6
MA2034023,80,.30000001,177.9160025119781,313.3000024557114,8
MA2034024,42,.023809524,.2163333296775818,.6489999890327454,1
MA2034025,71,.014084507,.1732500046491623,.6930000185966492,1
MA2034027,138,.46376812,9.254090905189514,12.85000026226044,6
MA2034028,99,.44444445,6.42531755566597,11.45700013637543,7
MA2034029,18,.22222222,4.843999922275543,4.843999922275543,4
MA2034030,72,.22222222,5.286999993026257,6.188000112771988,5
MA2034031,45,.26666668,2.751666679978371,4.209999918937683,4
MA2034032,18,0,0,0,0
MA2037001,133,.42105263,31.55162501335144,38.18999981880188,7
MA2037002,404,.61386138,35.48846215382218,71.03400045633316,10
MA2037006,312,.35576922,19.16228128969669,35.56200069189072,7
MA2037007,158,.64556962,62.95348370075226,88.28999996185303,9
MA2037008,82,.29268292,5.791694521903992,10.99599981307983,5
MA2037009,160,.26249999,34.25811193138361,67.58799892663956,10
MA2037010,96,.083333336,.7468333356082439,3.210999995470047,6
MA2037012,18,.11111111,1.704000055789948,1.704000055789948,2
MA2037013,312,.41346154,35.04977819696069,44.4290007352829,8
MA2037014,100,.34,13.73742842674255,15.86000025272369,5
MA2037017,88,.32954547,4.833800077438354,6.944000005722046,5
MA2037018,124,.51612902,49.35775077342987,69.12000036239624,8
MA2037019,192,.40104166,25.58683362603188,35.75999969244003,7
MA2037020,18,0,0,0,0
MA2037021,72,.3888889,16.19450032711029,19.07199966907501,7
MA2037022,162,.45061728,56.73855574429035,68.79899996519089,10
MA2037023,162,.37654322,40.45055636763573,50.12599903345108,8
MA2037024,144,.6111111,39.66439950466156,57.03999984264374,9
MA2037025,96,.375,7.842166781425476,10.28999996185303,6
MA2037026,18,.11111111,4.349999904632568,4.349999904632568,2
MA2037028,145,.34482759,51.99849951267242,108.7700002193451,10
MA2037030,25,.28,6.076499968767166,12.15299993753433,7
MA2037031,18,.33333334,19.32000005245209,19.32000005245209,6
MA2037033,252,.33333334,26.22928547859192,38.16999959945679,6
MA2037034,126,.40476191,127.1224312484264,140.7669960856438,9
MA2037035,133,.19548872,25.78246437758207,90.27099895477295,9
MA2037036,72,.40277779,10.25699985027313,15.04200011491776,6
MA2037037,41,.073170729,1.396666646003723,2.889999985694885,2
MA2037038,153,.078431375,2.20924287289381,10.56999987363815,6
MA2039000,321,.38940811,12.17506034485996,23.98800024390221,7
MA2039008,18,0,0,0,0
MA2045000,95,.10526316,1.130199983716011,3.713000059127808,4
MA2045001,94,.23404256,2.363084815442562,7.644999921321869,9
MA2045004,121,.46280992,10.99715918302536,22.01000010967255,6
MA2045005,59,.33898306,6.579750120639801,8.554000079631805,5
MA2054005,76,.2631579,5.990599930286407,6.418000042438507,4
MA2054007,18,.16666667,6.093999981880188,6.093999981880188,3
MA2054020,24,.5,15.22150027751923,15.44000017642975,6
MA2054027,23,.43478259,8.570500016212463,9.879000067710876,5
MA2054028,54,.44444445,96.6133359670639,103.200000166893,8
MA2054029,76,.052631579,.6552000045776367,3.276000022888184,4
MA2054030,18,0,0,0,0
MA2054032,21,.23809524,6.935000121593475,11.37999999523163,3
MA2054035,18,.055555556,.7400000095367432,.7400000095367432,1
MA2054040,120,.40000001,6.751910746097565,15.84999990463257,5
MA2054050,36,.11111111,2.10999995470047,2.279999971389771,2
MA2054051,329,.26443768,14.32160971313715,20.81400030851364,6
MA2054052,18,0,0,0,0
MA2054053,94,.23404256,1.85683336853981,3.680000007152557,4
MA2054055,36,.3888889,26.68850019574165,28.52699965238571,8
MA2054056,21,.14285715,1.236333340406418,2.216000020503998,2
MA2054062,36,0,0,0,0
MA2054070,306,.34313726,186.8755257055163,442.5160000324249,7
MA2054071,22,.5,13.90749955177307,14.12599986791611,6
MA2054072,36,.083333336,1.477000057697296,2.021000027656555,2
MA2054075,72,0,0,0,0
MA2064000,147,.17687075,3.657700076699257,6.912000000476837,5
MA2077000,124,.55645162,8.789749890565872,15.96999990940094,8
MA2077002,18,0,0,0,0
MA2077005,20,.15000001,1.060500025749207,1.421000003814697,2
MA2077006,18,0,0,0,0
MA2080000,1119,.62645221,24.50666757673025,78.71999967098236,10
MA2080003,174,.33333334,266.6661521196365,502.3800001144409,6
MA2080004,54,0,0,0,0
MA2080005,32,.34375,11.92249995470047,13.82099992036819,6
MA2080006,130,.0076923077,.1280000060796738,.7680000066757202,1
MA2081000,162,.32098764,7.226647436618805,11.34599995613098,6
MA2081003,18,.27777779,9.303000032901764,9.303000032901764,5
MA2081005,18,.055555556,.718999981880188,.718999981880188,1
MA2084000,54,0,0,0,0
MA2084001,36,.055555556,.6679999828338623,1.335999965667725,2
