pwsid,haa5,tthm,tthm_alt,haa5_alt,combined_dbp
104121125,,,,,
105300002,5.4841666,7.4499998,27.412498,5.4841666,12.934166
105300003,22.928572,17.450001,36.766666,33.799999,40.378571
105300006,,.70499998,.70499998,,.70499998
105300007,,,,,
105300008,.43333334,5.5999999,3.8,.43333334,6.0333333
105300009,,1.74,1.74,,1.74
105300010,0,,,,0
105300011,,1.1,1.1,,1.1
105300012,19.25,64.5,51.424995,22.349998,83.75
105300013,1.7,6.1333332,1.3,1.7,7.833333
105300014,18.4,3.1666667,3.1666667,18.4,21.566666
105300015,,.61666667,.61666667,,.61666667
105300016,,.5,.5,,.5
105300017,,0,,,0
105300018,0,1.4400001,1.4400001,,1.4400001
105300019,0,1.0333333,1.0333333,,1.0333333
105300020,0,,,,0
105300024,0,,,,0
105300025,,0,,,0
105300026,,,,,
105300027,,1.1216667,1.1216667,,1.1216667
105300028,0,7.1999998,,,7.1999998
105300031,,.34999999,.34999999,,.34999999
105300032,11.2,11.45,11.45,9.6000004,22.65
105300033,,,,,
105300036,,61.629997,61.629997,,61.629997
105300042,1,1.9300001,1.9300001,1,2.9300001
105300047,,.5,.5,,.5
105300048,,5,2.2,,5
105300051,,,,,
105300073,,.38999999,.38999999,,.38999999
105300081,0,,,,0
105300083,,,,,
105300084,3.7,,,3.7,3.7
105300085,4.9000001,2.3,2.3,4.9000001,7.1999998
105300087,,.94999999,.94999999,,.94999999
105300088,,,,,
105300089,,,,,
105300090,.55000001,5.8333335,4.1166668,,6.3833337
105300091,2.6500001,2.8,2.8,,5.4499998
105300092,0,1.8150001,1.8150001,,1.8150001
105300094,,.72000003,.72000003,,.72000003
105300098,0,.75,.75,,.75
105300108,0,1.6666666,1.6666666,,1.6666666
105300109,,,,,
105300115,,1.71,1.71,,1.71
105300116,21.040001,46.491665,45.056252,27,67.531662
105300117,,4.8666663,4.8666663,,4.8666663
105300119,,,,,
105300120,0,0,,,0
105300127,,,,,
105300133,,1.3,1.3,,1.3
105300135,,2.5,2.5,,2.5
105300139,,,,,
105300140,31.133333,50.240002,41.900002,21.366667,81.373337
105300141,,13.85,13.85,,13.85
105300144,0,7.5999999,1.9,,7.5999999
105300146,1.8685,1.04,1.04,1.8685,2.9085
105300147,2,18.9,6.5900002,,20.9
105300151,2.0699999,4.6533332,4.6533332,2.0699999,6.7233334
105300153,0,,,,0
105300155,6.5,14.9,10.65,2.5999999,21.4
105311105,2,16.4,4.125,2,18.4
105311106,1.3,,,1.3,1.3
105311107,,,,,
105314113,,1.5,1.5,,1.5
105318112,,6.9499998,,,6.9499998
105338102,5.1500001,78.5,51.445,5.1500001,83.650002
105338108,14.3,22,32.533333,6.5,36.299999
105338109,1.1,6.6999998,6.6999998,1.1,7.7999997
105338110,,,,,
105338112,,,,,
105338113,,,,,
105338116,,,,,
105338117,1.4,6.1666665,4.1500001,,7.5666666
105338121,,,,,
105338122,,,,,
105388889,,,,,
AK2110342,2.8385,5.5433335,3.8836975,2.8385,8.381834
AK2110449,,0,,,0
