"pwsid","tthm","haa5","combined_dbp"
"CT1059082",0,NA,NA
"NM3500532",0,NA,NA
"FL3480539",0,NA,NA
"FL4434422",26.5875,28.64,55.2275
"FL6581245",54.2483333333333,24.8036363636364,79.0519696969697
"FL6604818",8.608,0,8.608
"NC0197606",0,0,0
"ID1280309",0.390909090909091,NA,NA
"ME0091750",0,0,0
"NY4110697",0,0,0
"FL4431690",25.93625,NA,NA
"ID1280023",0,0,0
"SC0450032",0,0,0
"FL3531275",14.04,5.4,19.44
"FL6296274",23.978,6.88333333333333,30.8613333333333
"NC0106476",0,NA,NA
"NC0319130",0.5,3.4,3.9
"ID2180023",34.93,39.2628571428571,74.1928571428572
"ID5340023",0.833333333333333,NA,NA
"NY1310659",0.1306,0,0.1306
"OR4193426",0.25,NA,NA
"WY5601500",25.57,1.6,27.17
"WY5600328",3.08,2.8,5.88
"FL6515257",0.106666666666667,14.61,14.7166666666667
"WV9925013",0.425,NA,NA
"NY1302797",15.9666666666667,40.7,56.6666666666667
"NC0467102",29,7.5,36.5
"NM3574125",5.104,NA,NA
"AL0000149",2.76576923076923,1.8672,4.63296923076923
"AL0000181",4.68,6.6075,11.2875
"AL0000188",44.3054744525547,32.2712903225806,76.5767647751354
"AL0000302",3.29888888888889,0.863333333333333,4.16222222222222
"AL0000337",1.6475,0.8365,2.484
"AL0000341",14.5292307692308,0,14.5292307692308
"AL0000354",23.8242,2.28444444444444,26.1086444444444
"AL0000416",5.80727272727273,3.77111111111111,9.57838383838384
"AL0000539",39.5788495575221,25.26125,64.8400995575221
"AL0000598",53.7000684931507,16.9402857142857,70.6403542074364
"AL0000763",33.231226993865,21.5831578947368,54.8143848886019
"AL0000783",36.195775,20.0701762452107,56.2659512452107
"AL0000804",49.258985915493,34.569014084507,83.828
"AL0000831",1.77777777777778,2.75888888888889,4.53666666666667
"AL0001047",1.16363636363636,0.266666666666667,1.43030303030303
"AL0001124",5.03773611111111,1.59606060606061,6.63379671717172
"AL0001148",26.4437727272727,17.023,43.4667727272727
"AL0001151",4.33037974683544,1.33333333333333,5.66371308016878
"AL0001172",0.797692307692308,5.15,5.94769230769231
"AL0001203",10.1657342657343,6.15384615384615,16.3195804195804
"AL0001204",20.9426470588235,9.4,30.3426470588235
"AL0001371",48.3861194029851,41.3820588235294,89.7681782265145
"AL0001380",52.6714473684211,0.155714285714286,52.8271616541353
"AL0001420",13.4330769230769,12.16125,25.5943269230769
"AL0001505",0,0.155555555555556,0.155555555555556
"AL0001506",50.0166292134831,9.17379310344828,59.1904223169314
"AL0001767",1.33888888888889,0.144285714285714,1.4831746031746
