pwsid,total_samples,total_samples_2020,detection_share,detection_share_2020,pfoa_and_pfos,pfoa_and_pfos_2020,concentration_avg,concentration_avg_2020,concentration_max,concentration_max_2020,pfas_count,pfas_count_2020
AL0000327,40,16,.40000001,1,12.728571,29.700001,20.81428575515747,45.16666650772095,63.30000019073486,63.30000019073486,6,6
AL0000329,35,35,.17142858,.17142858,8.9500008,8.9500008,13.73333358764648,13.73333358764648,27.40000009536743,27.40000009536743,4,4
AL0000331,33,9,.27272728,1,2.0999999,6.3000002,5.23333328962326,13.09999990463257,14.20000016689301,14.20000016689301,5,5
AL0000338,58,58,0,0,0,0,0,0,0,0,0,0
AL0000339,1,1,1,1,6.5999999,6.5999999,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,1,1
AL0000356,88,58,0,0,0,0,0,0,0,0,0,0
AL0000361,59,29,0,0,0,0,0,0,0,0,0,0
AL0000366,25,25,1,1,18.974998,18.974998,63.92499947547913,63.92499947547913,141,141,7,7
AL0000375,42,30,.023809524,.033333335,0,0,.7250000238418579,1.450000047683716,2.900000095367432,2.900000095367432,1,1
AL0000394,24,0,0,,0,0,0,0,0,0,0,0
AL0000397,58,58,0,0,0,0,0,0,0,0,0,0
AL0000402,24,0,0,,0,0,0,0,0,0,0,0
AL0000406,58,58,.017241379,.017241379,0,0,1.649999976158142,1.649999976158142,3.299999952316284,3.299999952316284,1,1
AL0000413,65,29,.12307692,0,51.805557,0,54.66270017623901,0,290,0,3,0
AL0000416,13,13,1,1,,,53.5,53.5,61.89999961853027,61.89999961853027,9,9
AL0000417,1,1,1,1,,,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,1,1
AL0000418,1,1,1,1,,,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,1,1
AL0000419,1,1,1,1,,,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,1,1
AL0000420,59,59,.016949153,.016949153,0,0,1.266666650772095,1.266666650772095,3.799999952316284,3.799999952316284,1,1
AL0000421,1,1,1,1,,,7,7,7,7,1,1
AL0000422,1,1,1,1,,,4,4,4,4,1,1
AL0000423,1,1,1,1,,,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,1,1
AL0000424,1,1,1,1,,,6.300000190734863,6.300000190734863,6.300000190734863,6.300000190734863,1,1
AL0000425,1,1,1,1,,,3.900000095367432,3.900000095367432,3.900000095367432,3.900000095367432,1,1
AL0000426,1,1,1,1,,,9.5,9.5,9.5,9.5,1,1
AL0000427,1,1,1,1,,,7.5,7.5,7.5,7.5,1,1
AL0000428,1,1,1,1,,,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,1,1
AL0000429,1,1,1,1,,,7.699999809265137,7.699999809265137,7.699999809265137,7.699999809265137,1,1
AL0000430,1,1,1,1,4.9000001,4.9000001,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,1,1
AL0000441,24,0,0,,0,0,0,0,0,0,0,0
AL0000463,41,29,0,0,0,0,0,0,0,0,0,0
AL0000490,12,0,0,,0,0,0,0,0,0,0,0
AL0000491,58,58,0,0,0,0,0,0,0,0,0,0
AL0000500,70,58,0,0,0,0,0,0,0,0,0,0
AL0000502,4,4,1,1,3.05,3.05,15.79999995231628,15.79999995231628,25.59999990463257,25.59999990463257,2,2
AL0000509,53,29,0,0,0,0,0,0,0,0,0,0
AL0000533,118,118,.033898305,.033898305,1.9,1.9,4.379999995231628,4.379999995231628,11.80000019073486,11.80000019073486,2,2
AL0000535,169,145,0,0,0,0,0,0,0,0,0,0
AL0000537,116,116,.0086206896,.0086206896,1.125,1.125,1.125,1.125,4.5,4.5,1,1
AL0000540,109,109,.19266056,.19266056,28.633333,28.633333,135.8333344459534,135.8333344459534,144.5000004768372,144.5000004768372,7,7
AL0000547,141,117,.0070921984,.008547009,.2,.36000001,.2000000029802322,.3600000143051147,1.799999952316284,1.799999952316284,1,1
AL0000549,36,11,.33333334,1,6.583333,19.75,31.92618989944458,61.79999899864197,97,91.40000009536743,5,5
