pwsid,haa5,haa5_syr3,haa5_syr4,tthm,tthm_syr3,tthm_syr4,combined_dbp,combined_dbp_syr3,combined_dbp_syr4
MO1010609,0,0,2.0550001,3.8900001,3.8399999,3.9400001,3.8900001,3.8399999,5.9949999
MO1010625,9.2285719,11.575,6.0999999,9.2749996,1.5,9.2749996,18.503571,13.075,15.375
MO1010627,0,0,32.018333,50.599998,0,50.599998,50.599998,0,82.618332
MO1010632,0,0,0,19.700001,19.700001,5.8500004,19.700001,19.700001,5.8500004
MO1010633,14.68,0,14.68,10.18,0,10.18,24.860001,0,24.860001
MO1010646,14.06,0,14.06,11.3,0,11.3,25.360001,0,25.360001
MO1010648,32.880001,43.5,25.799999,41.553333,41.377777,41.816666,74.433334,84.877777,67.616669
MO1010649,11.8,0,11.8,0,0,15.360001,11.8,0,27.16
MO1010653,19.9,0,19.9,43,13.15,43,62.900002,13.15,62.900002
MO1010673,0,0,0,14.7,18.169998,14.7,14.7,18.169998,14.7
MO1010675,21.183332,0,21.183332,8.4863634,0,8.4863634,29.669697,0,29.669697
MO1010676,11.455556,0,11.455556,7.9573336,0,7.9573336,19.412889,0,19.412889
MO1010682,28.586666,35.779999,14.2,61.889473,63.281818,59.974998,90.476135,99.061813,74.174995
MO1010685,17.833334,15.1,19.200001,47.400002,44.5,48.849998,65.233337,59.599998,68.050003
MO1010688,0,0,19.59,0,0,0,0,0,19.59
MO1010696,17.966667,17.049999,19.799999,58.766666,67.699997,54.299999,76.733337,84.75,74.099998
MO1010698,72.25,0,72.25,102,0,102,174.25,0,174.25
MO1010714,5.6615386,5.9200001,5.5,6.6555557,7.7333331,6.1166668,12.317095,13.653334,11.616667
MO1010724,34.049999,21.9,46.200001,43.740002,51.233334,32.5,77.790001,73.133331,78.699997
MO1010739,33.916668,51.650002,25.049999,37.6875,4.4499998,48.766666,71.604172,56.100002,73.816666
MO1010742,0,0,0,0,0,0,0,0,0
MO1010744,22.166666,0,33.25,25.700001,0,25.700001,47.866669,0,58.950001
MO1010748,38.116665,40.662498,33.025002,49.984615,47.0625,54.66,88.10128,87.724998,87.684998
MO1010755,55.799999,0,55.799999,32.639999,0,32.639999,88.440002,0,88.440002
MO1010757,36.34,4.4099998,36.34,101.85,10.8,101.85,138.19,15.21,138.19
MO1010762,0,0,9.4799995,8.1400003,0,8.1400003,8.1400003,0,17.619999
MO1010773,0,0,2.8299999,0,0,5.4400001,0,0,8.2700005
MO1010786,14.433333,0,14.433333,0,55.299999,32.005833,14.433333,55.299999,46.439167
MO1010795,23.1,0,23.1,0,0,13.14,23.1,0,36.240002
MO1010802,0,0,6.0700002,0,0,0,0,0,6.0700002
MO1010808,49,0,49,0,0,56.690002,49,0,105.69
MO1010833,0,.94333333,0,2.948,4.3200002,.52499998,2.948,5.2633333,.52499998
MO1010839,21.5,0,21.5,95.120003,0,95.120003,116.62,0,116.62
MO1010842,16,0,16,5.1833334,0,5.1833334,21.183334,0,21.183334
MO1010846,0,0,8.2150002,4.125,0,4.125,4.125,0,12.34
MO1010850,0,0,6.4100003,5.6399999,0,5.6399999,5.6399999,0,12.05
MO1010851,11.25,4.0599999,11.25,62.666668,51,62.666668,73.916672,55.060001,73.916672
MO1010865,0,0,0,0,0,0,0,0,0
MO1010871,0,0,15.82,35.900002,0,35.900002,35.900002,0,51.720001
MO1010880,0,0,2.3399999,0,0,0,0,0,2.3399999
MO1010921,28.778948,26.639999,31.155556,67.40667,56.07143,77.324997,96.185616,82.711426,108.48055
MO1010940,0,0,5.46,0,0,0,0,0,5.46
MO1010980,0,0,4.7600002,0,0,0,0,0,4.7600002
MO1011067,0,0,0,0,0,1.7,0,0,1.7
MO1011181,0,0,1.34,0,0,3.72,0,0,5.0599999
MO1011182,30.549999,0,30.549999,74.466667,0,74.466667,105.01666,0,105.01666
MO1020869,0,0,0,0,0,0,0,0,0
MO1021071,35.299999,0,35.299999,75.366669,0,75.366669,110.66667,0,110.66667
MO1021080,22.733334,0,22.733334,55.599998,0,55.599998,78.333328,0,78.333328
MO1021082,0,0,9.1599998,4.1599998,0,4.1599998,4.1599998,0,13.32
MO1021098,0,0,8.125,0,0,0,0,0,8.125
MO1021117,39.392857,40.450001,37.983334,54.025002,48.48,63.266666,93.417862,88.93,101.25
MO1021160,32.900002,0,32.900002,59.099998,0,59.099998,92,0,92
MO1021175,71.066666,0,71.066666,74.900002,0,74.900002,145.96667,0,145.96667
MO1021221,9.3999996,0,9.3999996,52.080002,0,52.080002,61.480003,0,61.480003
MO1021304,23.1,0,23.1,80.400002,0,80.400002,103.5,0,103.5
MO1021318,23.0375,0,23.0375,47.279999,0,47.279999,70.317497,0,70.317497
MO1021595,5.5999999,0,5.5999999,32,0,32,37.599998,0,37.599998
MO1024004,0,0,10.438334,0,0,7.6200004,0,0,18.058334
MO1024005,13.5,0,13.5,11,0,11,24.5,0,24.5
MO1024006,35.700001,0,35.700001,55.32,0,55.32,91.020004,0,91.020004
MO1024007,30.924999,0,30.924999,37.450001,0,37.450001,68.375,0,68.375
MO1024009,15.7,0,15.7,30.15,0,30.15,45.849998,0,45.849998
MO1024030,0,0,10.8,64.633331,0,64.633331,64.633331,0,75.433334
MO1024031,38.405884,48.845455,19.266666,70.659164,99.0625,13.8525,109.06505,147.90796,33.119167
MO1024032,26.4,0,26.4,42.700001,0,42.700001,69.099998,0,69.099998
MO1024033,24.200001,0,24.200001,36.32,0,36.32,60.52,0,60.52
MO1024034,33.833332,0,33.833332,60.599998,0,60.599998,94.433334,0,94.433334
MO1024035,17,0,17,44.34,0,44.34,61.34,0,61.34
MO1024064,0,0,.85000002,7.8150001,0,7.8150001,7.8150001,0,8.665
MO1024078,18.9,10.52,18.9,46.5,49.700001,45.433334,65.400002,60.220001,64.333336
MO1024079,72.099998,0,72.099998,73.533333,0,73.533333,145.63333,0,145.63333
MO1024110,9.3000002,0,9.3000002,8.1949997,0,8.1949997,17.494999,0,17.494999
MO1024111,31.893749,33.939999,28.483334,64.93158,81.927269,41.5625,96.825333,115.86726,70.045837
MO1024112,16.280001,0,16.280001,8.4119997,0,8.4119997,24.692001,0,24.692001
MO1024113,14.2,0,14.2,0,0,.58999997,14.2,0,14.79
MO1024114,11.375,0,11.375,8.1833334,0,8.1833334,19.558334,0,19.558334
MO1024115,8.8666668,0,8.8666668,9.7200003,0,9.7200003,18.586666,0,18.586666
MO1024116,14.4,0,14.4,3.97,0,3.97,18.369999,0,18.369999
MO1024117,0,0,5.6799998,5.8850002,0,5.8850002,5.8850002,0,11.565001
MO1024118,0,0,0,11.8,0,11.8,11.8,0,11.8
MO1024119,14.9,0,14.9,13.1,0,13.1,28,0,28
MO1024142,18,0,18,7.395,0,7.395,25.395,0,25.395
MO1024143,24.888889,19.1,25.612499,63.666668,72.599998,59.200001,88.555557,91.699997,84.8125
MO1024144,0,0,13.256666,41.435001,0,41.435001,41.435001,0,54.691666
MO1024145,19.299999,0,19.299999,8.8199997,0,8.8199997,28.119999,0,28.119999
MO1024146,13.15,0,13.15,6.5900002,0,6.5900002,19.74,0,19.74
MO1024147,5.9333334,0,5.9333334,28.025,0,28.025,33.958332,0,33.958332
MO1024149,14.366667,47.599998,21.549999,7.1633334,29.470001,7.1633334,21.530001,77.07,28.713333
MO1024150,16.4,0,16.4,4.8800001,0,4.8800001,21.279999,0,21.279999
MO1024153,22.66,0,22.66,28.84,0,28.84,51.5,0,51.5
MO1024154,28.4125,0,28.4125,47.599998,0,47.599998,76.012497,0,76.012497
MO1024155,46.25,0,46.25,55.433334,0,55.433334,101.68333,0,101.68333
MO1024156,26.059999,0,26.059999,42.040001,0,42.040001,68.099998,0,68.099998
MO1024186,0,0,0,0,0,2.76,0,0,2.76
