pwsid,detection_share
090400106,.04490253
090400107,0
090400108,.0051282053
090400109,.047268115
090400110,.13455859
090400111,0
090400112,.16066808
090400113,.045977011
090400114,.055283789
090400116,0
090400117,0
090400118,0
090400119,0
090400120,.018867925
090400122,0
090400123,.06666667
090400124,0
090400127,0
090400128,0
090400206,.001953125
090400207,0
090400208,0
090400209,0
090400215,0
090400217,0
090400218,0
090400220,.000393391
090400226,0
090400227,0
090400228,0
090400229,0
090400231,.0021505377
090400232,.0125
090400233,.00026990555
090400234,.14795008
090400236,.23776224
090400237,.16666667
090400239,.19744483
090400242,.095002472
090400243,.00029776676
090400244,0
090400249,0
090400251,.19298245
090400259,0
090400260,0
090400267,.11206897
090400273,.030630631
090400274,.14751364
090400276,.080645159
090400277,.033755273
090400278,0
090400300,.00030637256
090400301,.21181001
090400302,.13935544
090400303,0
090400304,.004496403
090400316,0
090400320,0
090400343,.00019768706
090400345,.000042707667
090400346,0
090400378,.1923077
090400382,0
090400383,0
090400385,.03622872
090400386,0
090400388,0
090400393,.1891892
090400394,0
090400395,.36290431
090400402,0
090400470,0
090400661,0
090400662,.040540539
090400667,0
090400673,.00057502178
090400674,.27272728
090400675,.10833333
090400676,.064571992
090400677,.23214285
090400678,0
090400679,.00058962265
090400680,.012048192
090400681,.06818182
090400682,.13953489
090400684,.057142857
090400685,.071428575
090400687,0
090400688,.12328767
090400689,.0013888889
090400691,0
090400692,.06416969
090400693,.0014463509
090400694,.00011947432
090400695,0
090400696,0
090400697,.22580644
090400698,0
090400699,.054054055
090400700,0
090400701,.003404835
090400702,0
090400703,0
090400705,0
090400706,.00063271116
090400707,0
090400708,0
090400710,.029411765
090400740,0
090401323,.031437125
090402014,0
090402015,.043010753
090402057,.000032393909
090403008,0
090403009,.018691588
090403010,.036363635
090403011,0
090403051,.023255814
090407149,4.6791943e-06
090408027,.036734693
090411311,0
090433001,0
090600052,0
090600053,0
090600054,.029850746
090600056,0
090600057,.12195122
090600058,0
090600059,.1391097
090600061,0
090600118,0
090600119,.045301445
090600120,0
090600121,.12313679
090600122,.00018190638
090600124,0
090600125,0
090600126,.23181063
090600127,.00056230323
090600128,.059838276
090600129,.0014071295
090600130,0
090600131,.14883062
090600132,.0024630541
090600133,.10765047
090600134,.11462585
090600135,0
090600137,0
090600138,.00073909829
090600139,.0012919897
090600142,.000048668906
090600144,.00072727271
090600145,.19091432
090600146,.0014831295
090600147,.000016439797
090600148,.050540369
090600150,.14985995
090600151,.038737565
090600154,.033128269
090600156,.10078982
090600158,.016098896
090600159,.0037593986
090600160,.30555555
090600161,.25
090600163,.014184397
090600165,.02631579
090600167,.40000001
090600183,.109375
090600190,.1007752
090600193,.0032760033
090600194,.0020833334
090600201,.0049999999
090600226,.00039580447
090600227,0
090600228,.024390243
090600236,.003752345
090600237,0
090600238,.34145674
090600247,.66666669
090600362,.00043010752
090600399,0
090600601,0
090600741,.051948052
090605000,0
090605004,.19758065
090605006,.10030121
090605007,.049048513
090605008,0
090605011,.00051282049
090605012,.031578947
090605013,1.5163599e-06
090605014,.14743112
090605015,.15384616
090605017,.0004761905
090605019,.00034141346
090605020,.21345976
090605021,.13579433
090605024,.0500842
090605025,0
090605029,0
090605033,.28286147
090605041,0
090605045,.12259307
090605046,0
090605047,0
090605055,.046296295
090605057,.00041050903
090605060,.00069444446
090605062,.033333335
090605072,.0625
090605073,.2682927
090605074,.0027586205
090605077,.0023041475
090605080,.37030971
090605083,.08510638
090605105,.2
090605106,.036585364
090605107,.020637082
090605109,.000030348092
090605113,.070224009
090605115,.0010405827
090605116,.0024167562
090605117,0
090605118,.00046948355
090605119,0
090605120,0
090605121,.085714288
090605122,0
090605123,0
090605124,.00084889645
090605125,.066102758
090605126,.000072337964
090605128,.22
090605129,.13040586
090605130,.25623298
090605131,.13592233
090605132,0
090605133,0
090605135,.21951219
090605136,.000053194603
090605140,.022988506
090605142,0
090605143,.14782277
090605144,.00042735043
090605146,.13921189
090605147,.16632016
090605149,0
090605150,0
090605151,.064583331
090605152,.0011337869
090605153,.085521899
090605154,.0018853695
090605155,.16168857
090605157,.076086953
090605158,0
090605159,.0068965517
090605160,.071904764
090605161,3.3536114e-06
090605163,0
090605164,0
090605165,0
090605168,.90909094
090605169,0
090605171,0
090605172,0
090605174,0
090605177,.34037736
093200067,.34311223
093200161,0
093200162,0
093200163,.0047562425
093200164,.55818999
093200165,.45311871
093200166,.0001145213
093200167,.35310867
093200168,0
093200169,.12197929
093200171,.0030940594
093200172,.46938777
093200173,.4396446
093200175,.11428571
093200177,.00089126558
093200178,.079365082
093200200,.00072762551
093200266,0
093200359,0
093200360,.0017857143
093200362,0
093200363,.0004385965
093200364,.0011961723
093200365,.00085470086
093200366,0
093200368,.077633649
093200369,0
093200370,.019607844
093200371,.025641026
093200372,.50180554
093200373,.073440641
093200374,.065934069
093200375,.0625
093200376,0
093200379,0
093200380,.25
093500302,0
093500333,.00015470297
093503036,.012820513
093503042,.0012829911
093534001,0
093534002,.42575252
093534003,.22002634
093534004,.024390243
093534005,0
093534006,.17685759
093534007,0
093534009,0
093534010,.16388385
093534011,0
093534012,.023809524
093534013,.094827585
093534014,.3877551
093534015,.12781955
093534016,.069767445
093534018,.16055588
093534019,0
093534020,0
093534021,0
093534022,0
093534023,0
093534024,0
094902226,.1509434
100211202,.0070422534
101600001,.0098039219
101600002,0
101600003,.009708738
101600005,0
101600009,0
101600010,.034782607
101600015,0
101600016,0
101611104,.0096618356
101611105,.05882353
101612108,.012295082
101612109,.0054644807
101612110,0
101612113,0
101612114,.10344828
104100002,0
104101100,0
104101101,0
104101102,.01010101
104101132,0
104101133,.021621622
104101136,0
104101247,0
104111101,.0095238099
104121114,.1754386
104121115,0
104121119,0
104121120,0
104121121,0
104121123,0
104121124,0
104121125,0
104121126,0
104121127,.030303031
105300002,.0025806453
105300003,.00087183958
105300006,.017167382
105300007,.0099999998
105300008,0
105300009,.029702971
105300010,0
105300011,.67783988
105300012,.010204081
105300013,0
105300014,.0067453627
105300015,.017094018
105300016,0
105300017,0
105300018,0
105300019,.022177419
105300020,.010126582
105300021,.02020202
105300022,.039370079
105300024,0
105300025,0
105300026,.0024096386
105300027,0
105300028,0
105300031,0
105300032,0
105300033,0
105300036,.0086956518
105300042,0
105300047,0
105300048,0
105300051,0
105300058,.047619049
105300073,0
105300081,.0899067
105300083,.032110091
105300084,0
105300085,0
105300086,.13279133
105300087,0
105300088,0
105300089,.0035211267
105300090,0
105300091,.01058201
105300092,0
105300094,0
105300095,.010752688
105300098,0
105300108,.025454545
105300109,.32586208
105300111,.020618556
105300113,0
105300115,0
105300116,.0032664489
105300117,0
105300119,.010050251
105300120,0
105300121,.011764706
105300123,.029702971
105300126,0
105300127,0
105300130,.35480574
105300133,.005181347
105300134,.086614177
105300135,.0049999999
105300139,.020408163
105300140,0
105300141,.032558139
105300144,0
105300146,.0051413882
105300147,0
105300148,.067415729
105300149,.025
105300151,0
105300153,0
105300155,.020661157
105300156,.1305
105300157,.022222223
105311103,.078947365
105311105,0
105311106,0
105311107,0
105314113,0
105318112,.0093896715
105338100,.033582091
105338101,.03125
105338102,0
105338103,0
105338104,.020408163
105338105,.011764706
105338108,0
105338109,0
105338110,0
105338111,.013333334
105338112,.1468254
105338113,.17115185
105338114,0
105338115,0
105338116,.0089285718
105338117,0
105338120,0
105338121,.051679585
105338122,.12195122
105388889,0
AK2110106,.14771388
AK2110110,0
AK2110318,.011889726
AK2110342,.28953636
AK2110449,0
AK2110520,.034482758
AK2110562,.0052083335
AK2110601,.013436262
AK2110619,.0062500001
AK2110643,.005050505
AK2110821,0
AK2110855,.0077319588
AK2110871,0
AK2111241,.007751938
AK2111275,.02
AK2111457,0
AK2111465,0
AK2111470,.022294372
AK2111472,.059999999
AK2111476,0
AK2111513,.065217391
AK2111523,0
AK2111526,0
AK2111533,0
AK2111544,.071428575
AK2111555,.029411765
AK2111561,0
AK2111564,.125
AK2111566,0
AK2113536,0
AK2113560,0
AK2119205,0
AK2120012,.040229887
AK2120020,.092362091
AK2120101,0
AK2120127,.020580227
AK2120143,0
AK2120169,.011182336
AK2120193,0
AK2120216,.0087719299
AK2120224,.020833334
AK2120232,.0010771021
AK2120436,0
AK2120541,.18627451
AK2120567,.031746034
AK2120575,.020134227
AK2120591,.034883723
