"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"25042","PA2401008","TT","Resolved",371,3
"25043","PA2520420","MCL","Resolved",30,6
"25044","PA2580401","TT","Resolved",338,4
"25045","PA2660968","MCL","Resolved",30,4
"25046","PA3061108","MCL","Resolved",30,4
"25047","PA3130946","TT","Unaddressed",301,2
"25048","PA3540850","TT","Resolved",525.958333333333,4
"25049","PA4310838","TT","Resolved",2653,14
"25050","PA4410405","TT","Resolved",2638,15
"25051","PA4440835","MCL","Resolved",91,2
"25052","PA4490312","TT","Resolved",716,4
"25053","PA5100472","MCL","Resolved",91,4
"25054","PA5100855","TT","Resolved",2596,3
"25055","PA5260844","TT","Resolved",2623,2
"25056","PA6201019","TT","Resolved",2623,7
"25057","PA6201039","TT","Resolved",2462,9
"25058","PA6201221","TT","Resolved",2623,6
"25059","PA6620394","TT","Resolved",1874,7
"25060","PA7280364","MCL","Resolved",30,2
"25061","PA7280810","TT","Resolved",2082,2
"25062","PA7670905","MCL","Resolved",91,2
"25063","PA7671070","TT","Resolved",1355,2
"25064","PR0401144","TT","Resolved",2166,16
"25065","PR0604056","MCL","Archived",29.9583333333333,2
"25066","RI1000001","TT","Unaddressed",590.958333333333,4
"25067","RI2980094","TT","Resolved",2199,5
"25068","SD4600040","TT","Resolved",1616.95833333333,2
"25069","SD4601045","TT","Resolved",2063.95833333333,6
"25070","TN0000531","TT","Resolved",1558,7
"25071","TX1470031","TT","Resolved",2408.95833333333,97
"25072","TX1520004","MCL","Resolved",30,4
"25073","TX1700031","TT","Resolved",463,11
"25074","TX1740003","MCL","Resolved",91.0416666666667,16
"25075","TX1780057","TT","Resolved",1924,4
"25076","TX1810014","TT","Resolved",3049.95833333333,33
"25077","TX1900011","MCL","Resolved",91.0416666666667,42
"25078","TX2140006","TT","Resolved",748,8
"25079","TX2210006","MCL","Resolved",91.0416666666667,23
"25080","TX2440010","MCL","Resolved",91,10
"25081","UTAH09098","TT","Resolved",2652,11
"25082","UTAH15018","TT","Resolved",3081.95833333333,6
"25083","UTAH26088","TT","Resolved",1861,3
"25084","UTAH29033","TT","Resolved",2638,3
"25085","UTAH29061","MCL","Resolved",29,3
"25086","VA6061007","MCL","Resolved",30,7
"25087","VA6107349","MCL","Resolved",91.0416666666667,8
"25088","VA6137321","MCL","Resolved",30,8
"25089","VI1000178","MCL","Resolved",29,3
"25090","WA5324151","MCL","Resolved",30,1
"25091","WI1280108","TT","Resolved",2743.95833333333,23
"25092","WI2300492","MCL","Resolved",29,6
"25093","WI2301493","MCL","Resolved",29,5
"25094","WI4451592","TT","Resolved",685,4
"25095","WI6270349","MCL","Resolved",29,5
"25096","WI6560131","MCL","Resolved",91.0416666666667,7
"25097","WI7290224","TT","Resolved",2936,8
"25098","WI8510408","TT","Resolved",2012.95833333333,4
"25099","WV3300104","TT","Resolved",1670.95833333333,6
"25100","WV3303904","TT","Addressed",1544,16
"25101","WV3304306","TT","Unaddressed",2213,7
"25102","WV9907030","TT","Resolved",1440,4
"25103","WV9913089","TT","Resolved",29,4
"25104","WY5601625","TT","Addressed",1647.95833333333,2
"25105","NH1917020","TT","Archived",1740,1
"25106","AS9630243","TT","Unaddressed",2013.95833333333,2
"25107","FL2181288","MCL","Archived",91.0416666666667,13
"25108","AK2210299","TT","Archived",1716,1
"25109","LA1077049","TT","Archived",2778.95833333333,1
"25110","055294101","TT","Resolved",1391,44
"25111","090400673","TT","Resolved",433,5
"25112","AK2225626","TT","Resolved",1744,1
"25113","AK2244002","TT","Resolved",3049.95833333333,2
"25114","AK2261444","TT","Resolved",2136,3
"25115","AR0000403","MCL","Resolved",29.9583333333333,3
"25116","AR0000529","TT","Resolved",2592,15
"25117","AR0000688","MCL","Resolved",29,2
"25118","AR0000782","MCL","Resolved",91.0416666666667,35
"25119","AR0000844","TT","Resolved",1039,9
"25120","AZ0403088","MCL","Resolved",91,6
"25121","AZ0407071","MCL","Resolved",91.0416666666667,8
"25122","AZ0415125","MCL","Resolved",364,3
"25123","CA0900317","MCL","Resolved",91,3
"25124","CA1009023","MCL","Resolved",91.0416666666667,10
"25125","CA1510025","MCL","Resolved",30,2
"25126","CA2800021","TT","Resolved",279,1
"25127","CA3301979","MCL","Resolved",30,2
"25128","CA5410003","MCL","Resolved",90,2
"25129","CA5602403","MCL","Archived",91.0416666666667,7
"25130","CO0121111","TT","Resolved",2531,4
