pwsid,total_samples,detection_share,pfas_count,concentration_sum,detection,max
AL0000936,24,.0833333333333333,2,.0299999993294477,1,.02
AL0000940,24,0,0,0,0,0
AL0000943,40,.1,4,9.299999952316284,1,2.7
AL0000945,29,0,0,0,0,0
AL0000957,58,0,0,0,0,0
AL0000967,192,0,0,0,0,0
AL0000983,5,1,3,55.69999980926514,1,26
AL0000993,58,0,0,0,0,0
AL0000994,8,0,0,0,0,0
AL0001002,96,0,0,0,0,0
AL0001005,72,.3333333333333333,7,9.200000107288361,1,2.2
AL0001006,2,1,2,8.100000143051147,1,4.3000002
AL0001015,53,0,0,0,0,0
AL0001021,45,.3333333333333333,7,164.1999998092651,1,44
AL0001022,12,1,12,156.8000001907349,1,29
AL0001037,7,1,2,35.5,1,26
AL0001047,9,1,4,26,1,14
AL0001070,311,0,0,0,0,0
AL0001084,34,.2941176470588235,5,28.10000038146973,1,9.3000002
AL0001086,24,0,0,0,0,0
AL0001088,24,0,0,0,0,0
AL0001092,24,.1666666666666667,3,.2599999960511923,1,.13
AL0001097,24,0,0,0,0,0
AL0001100,24,0,0,0,0,0
AL0001106,84,0,0,0,0,0
AL0001110,36,0,0,0,0,0
AL0001120,72,0,0,0,0,0
AL0001124,72,0,0,0,0,0
AL0001127,4,0,0,0,0,0
AL0001131,6,1,3,12.29999995231628,1,6.5999999
AL0001142,32,.25,4,17.59999990463257,1,5.6999998
AL0001145,60,0,0,0,0,0
AL0001148,71,.1549295774647887,4,15.30000019073486,1,6.9000001
AL0001150,25,.04,1,2.099999904632568,1,2.0999999
AL0001151,60,0,0,0,0,0
AL0001157,64,.0625,3,23.09999942779541,1,9.8999996
AL0001160,7,1,2,20.5,1,13
AL0001163,100,.16,5,13,1,4
AL0001171,2,1,2,11.60000038146973,1,6.8000002
AL0001176,116,0,0,0,0,0
AL0001203,91,.0769230769230769,7,8.00000011920929,1,1.3
AL0001204,51,.0588235294117647,3,4.099999904632568,1,1.9
AL0001205,12,0,0,0,0,0
AL0001222,36,0,0,0,0,0
AL0001228,13,1,6,26.70000016689301,1,7.8000002
AL0001245,1,1,1,4.099999904632568,1,4.0999999
AL0001247,6,1,6,14.49999976158142,1,3.9000001
AL0001258,53,.0943396226415094,5,21.70000004768372,1,11
AL0001260,109,.1192660550458716,5,10.89999973773956,1,4.0999999
AL0001261,11,1,6,107.3999998569489,1,56
AL0001265,24,0,0,0,0,0
AL0001273,29,0,0,0,0,0
AL0001289,27,0,0,0,0,0
AL0001298,58,0,0,0,0,0
AL0001302,58,0,0,0,0,0
AL0001306,29,0,0,0,0,0
AL0001307,24,0,0,0,0,0
AL0001313,48,0,0,0,0,0
AL0001336,24,0,0,0,0,0
AL0001344,29,0,0,0,0,0
AL0001351,29,0,0,0,0,0
AL0001353,24,0,0,0,0,0
AL0001363,58,0,0,0,0,0
AL0001368,1,1,1,5.300000190734863,1,5.3000002
AL0001378,1,1,1,3.799999952316284,1,3.8
AL0001393,16,1,5,89.90000009536743,1,45
AL0001403,1,1,1,4.900000095367432,1,4.9000001
AL0001410,48,0,0,0,0,0
AL0001411,24,0,0,0,0,0
AL0001420,1,1,1,12,1,12
AL0001421,1,1,1,4.699999809265137,1,4.6999998
AL0001422,163,.1411042944785276,5,14.96000033244491,1,8.1000004
AL0001423,37,.027027027027027,1,10,1,10
AL0001424,1,1,1,5.300000190734863,1,5.3000002
AL0001425,1,1,1,6.699999809265137,1,6.6999998
AL0001432,82,0,0,0,0,0
AL0001489,84,0,0,0,0,0
AL0001500,72,0,0,0,0,0
AL0001507,48,0,0,0,0,0
AL0001537,29,0,0,0,0,0
AL0001540,24,0,0,0,0,0
AL0001671,53,.1132075471698113,5,88.29999971389771,1,56
AL0001739,58,0,0,0,0,0
AL0001748,29,0,0,0,0,0
AL0001750,24,0,0,0,0,0
AL0001780,29,1,8,144.5,1,65
AL0001781,2,1,1,6.099999904632568,1,6.0999999
AL0001783,24,0,0,0,0,0
AL0001786,24,0,0,0,0,0
AL0001805,27,1,6,228.8000001907349,1,91
AR0000004,41,0,0,0,0,0
AR0000025,24,0,0,0,0,0
AR0000027,58,.0172413793103448,1,.0055999998003244,1,.0055999998
AR0000039,24,0,0,0,0,0
AR0000041,53,0,0,0,0,0
AR0000044,24,0,0,0,0,0
AR0000055,82,0,0,0,0,0
AR0000056,111,.045045045045045,3,.0116999999154359,1,.0043000001
AR0000062,24,0,0,0,0,0
AR0000066,41,0,0,0,0,0
AR0000074,29,0,0,0,0,0
AR0000077,24,0,0,0,0,0
AR0000085,24,0,0,0,0,0
AR0000093,36,0,0,0,0,0
AR0000096,25,0,0,0,0,0
AR0000101,24,0,0,0,0,0
AR0000104,53,0,0,0,0,0
AR0000107,60,0,0,0,0,0
AR0000109,48,0,0,0,0,0
AR0000119,24,0,0,0,0,0
AR0000124,123,0,0,0,0,0
AR0000138,29,0,0,0,0,0
AR0000142,24,0,0,0,0,0
AR0000144,58,0,0,0,0,0
AR0000145,29,0,0,0,0,0
AR0000152,12,0,0,0,0,0
AR0000156,41,0,0,0,0,0
AR0000184,12,0,0,0,0,0
AR0000189,24,0,0,0,0,0
AR0000193,29,0,0,0,0,0
AR0000195,82,0,0,0,0,0
AR0000196,29,0,0,0,0,0
AR0000208,24,0,0,0,0,0
AR0000209,164,0,0,0,0,0
AR0000214,29,0,0,0,0,0
AR0000220,24,0,0,0,0,0
AR0000222,12,0,0,0,0,0
AR0000230,48,0,0,0,0,0
AR0000244,25,0,0,0,0,0
AR0000250,24,0,0,0,0,0
AR0000254,53,0,0,0,0,0
AR0000272,12,0,0,0,0,0
AR0000286,25,0,0,0,0,0
AR0000315,87,0,0,0,0,0
AR0000338,12,0,0,0,0,0
AR0000360,24,0,0,0,0,0
AR0000365,12,0,0,0,0,0
AR0000378,29,0,0,0,0,0
AR0000404,24,0,0,0,0,0
AR0000431,29,0,0,0,0,0
AR0000438,29,0,0,0,0,0
AR0000441,29,0,0,0,0,0
AR0000446,24,0,0,0,0,0
AR0000459,48,0,0,0,0,0
AR0000463,12,0,0,0,0,0
AR0000465,48,0,0,0,0,0
AR0000466,36,0,0,0,0,0
AR0000484,24,0,0,0,0,0
AR0000486,24,0,0,0,0,0
AR0000488,58,0,0,0,0,0
AR0000492,77,0,0,0,0,0
AR0000493,48,0,0,0,0,0
AR0000503,24,0,0,0,0,0
AR0000504,33,0,0,0,0,0
AR0000507,48,0,0,0,0,0
AR0000510,29,0,0,0,0,0
AR0000513,24,0,0,0,0,0
AR0000536,12,0,0,0,0,0
AR0000542,29,0,0,0,0,0
AR0000550,82,0,0,0,0,0
AR0000561,12,0,0,0,0,0
AR0000569,24,0,0,0,0,0
AR0000572,24,0,0,0,0,0
AR0000574,24,0,0,0,0,0
AR0000575,24,0,0,0,0,0
AR0000579,29,0,0,0,0,0
AR0000586,24,0,0,0,0,0
AR0000590,24,0,0,0,0,0
AR0000592,12,0,0,0,0,0
AR0000599,29,0,0,0,0,0
AR0000646,24,0,0,0,0,0
AR0000688,174,0,0,0,0,0
AR0000725,58,0,0,0,0,0
AR0000727,29,0,0,0,0,0
AR0000734,87,0,0,0,0,0
AR0000738,24,0,0,0,0,0
AR0000772,29,0,0,0,0,0
AR0000773,25,0,0,0,0,0
AR0000782,82,0,0,0,0,0
AR0000808,12,0,0,0,0,0
AR0000887,24,0,0,0,0,0
ARN000022,12,0,0,0,0,0
AS9711948,408,.0024509803921569,1,.0399999991059303,1,.039999999
AZ0402010,180,0,0,0,0,0
AZ0402014,72,0,0,0,0,0
AZ0402035,232,0,0,0,0,0
AZ0402042,12,0,0,0,0,0
AZ0402044,48,0,0,0,0,0
AZ0402078,72,0,0,0,0,0
AZ0403003,96,0,0,0,0,0
AZ0403008,190,0,0,0,0,0
AZ0403017,29,0,0,0,0,0
AZ0403702,12,0,0,0,0,0
AZ0404008,24,0,0,0,0,0
AZ0404012,24,0,0,0,0,0
AZ0404032,759,.1317523056653492,9,.2648000004701316,1,.048
AZ0405005,60,0,0,0,0,0
AZ0407017,36,0,0,0,0,0
AZ0407025,1061,.0065975494816211,2,.0220000008121133,1,.016000001
AZ0407026,94,0,0,0,0,0
AZ0407033,84,0,0,0,0,0
AZ0407046,72,.1388888888888889,4,.4099999982863665,1,.22
AZ0407056,12,0,0,0,0,0
AZ0407078,54,0,0,0,0,0
AZ0407088,72,0,0,0,0,0
AZ0407090,348,0,0,0,0,0
AZ0407091,102,0,0,0,0,0
AZ0407092,228,0,0,0,0,0
AZ0407093,180,0,0,0,0,0
AZ0407094,60,0,0,0,0,0
AZ0407095,482,0,0,0,0,0
AZ0407096,168,0,0,0,0,0
AZ0407098,132,0,0,0,0,0
AZ0407099,311,0,0,0,0,0
AZ0407100,144,.1111111111111111,4,.3080000057816505,1,.15000001
AZ0407120,36,0,0,0,0,0
AZ0407121,29,0,0,0,0,0
AZ0407150,82,0,0,0,0,0
AZ0407154,24,0,0,0,0,0
AZ0407500,48,0,0,0,0,0
AZ0407504,36,0,0,0,0,0
AZ0407695,168,0,0,0,0,0
AZ0408001,12,.6666666666666666,4,1.077000032179058,1,.73000002
AZ0408020,275,0,0,0,0,0
AZ0408022,12,0,0,0,0,0
AZ0408032,60,0,0,0,0,0
AZ0408038,24,0,0,0,0,0
AZ0408040,16,0,0,0,0,0
AZ0408063,316,.0158227848101266,2,.0091999997384846,1,.0046999999
AZ0408081,58,0,0,0,0,0
AZ0409003,60,0,0,0,0,0
AZ0409004,60,0,0,0,0,0
AZ0409015,24,0,0,0,0,0
AZ0409029,87,0,0,0,0,0
AZ0410004,48,0,0,0,0,0
AZ0410006,24,0,0,0,0,0
AZ0410035,24,0,0,0,0,0
AZ0410041,29,0,0,0,0,0
AZ0410051,234,.0341880341880342,6,.0309999999590218,1,.0089999996
AZ0410076,276,.0072463768115942,1,.0529999993741512,1,.052999999
AZ0410112,324,.0123456790123457,2,.4759999886155128,1,.41999999
AZ0410164,192,0,0,0,0,0
AZ0410312,12,0,0,0,0,0
AZ0411004,24,0,0,0,0,0
AZ0411009,132,0,0,0,0,0
AZ0411017,36,0,0,0,0,0
AZ0411039,48,0,0,0,0,0
AZ0411060,84,0,0,0,0,0
AZ0411117,132,0,0,0,0,0
AZ0411128,120,0,0,0,0,0
AZ0411131,12,0,0,0,0,0
AZ0411160,12,0,0,0,0,0
AZ0411328,29,0,0,0,0,0
AZ0412004,72,0,0,0,0,0
AZ0412011,331,.0453172205438066,7,.0939999986439943,1,.039999999
AZ0413012,145,.0413793103448276,6,.064300000667572,1,.028000001
AZ0413024,58,0,0,0,0,0
AZ0413025,48,0,0,0,0,0
AZ0413045,194,.0515463917525773,7,.0540000000037253,1,.0099999998
AZ0413046,145,0,0,0,0,0
AZ0413048,132,0,0,0,0,0
AZ0413087,36,0,0,0,0,0
AZ0413320,12,0,0,0,0,0
AZ0414004,72,0,0,0,0,0
AZ0414005,72,0,0,0,0,0
AZ0414015,12,0,0,0,0,0
AZ0414024,48,0,0,0,0,0
AZ0414082,29,0,0,0,0,0
AZ0414099,29,0,0,0,0,0
AZ0420018,29,0,0,0,0,0
AZ0420423,84,0,0,0,0,0
CA,2946,.1863543788187373,8,310.4000000953674,1,150
CA0105020,72,.1388888888888889,3,20.29999971389771,1,11
CA0110001,1147,.1830863121185702,7,52.19999980926514,1,14
CA0110003,258,.0930232558139535,6,51,1,21
CA0110005,230,0,0,0,0,0
CA0110006,48,0,0,0,0,0
CA0110008,390,.3179487179487179,8,261.9999995231628,1,120
CA0110009,24,0,0,0,0,0
CA0110010,1194,.2537688442211055,6,244.1000003814697,1,110
CA0110011,24,0,0,0,0,0
CA0110018,36,.0277777777777778,1,3,1,3
CA0210002,36,0,0,0,0,0
CA0300037,29,0,0,0,0,0
CA0400150,18,0,0,0,0,0
CA0400151,144,.0833333333333333,6,19.89999961853027,1,4.5999999
CA0400154,168,.0654761904761905,3,19.60000014305115,1,8.3000002
CA0405003,71,0,0,0,0,0
CA0409197,18,0,0,0,0,0
CA0410002,2204,.0825771324863884,6,145.199999332428,1,84
